"Downloaded on",03/05/2025,"13:27:00 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2299%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 392",https://www.congress.gov/bill/99th-congress/senate-bill/392,"99th Congress (1985-1986)","A bill to make permanent the exclusion for certain service performed on fishing boats from coverage from unemployment compensation tax.","Heflin, Howell [Sen.-D-AL] (Introduced 02/06/1985)",Democratic,02/06/1985,"Senate - Finance","Committee on Finance requested executive comment from OMB, Treasury Department, Health and Human Services Department, Labor Department.",02/11/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Fisheries,"Fishing boats","Labor and Employment","Tax exemption",Taxation,"Unemployment insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the Economic Recovery Tax Act of 1981 to make permanent the exemption from Federal unemployment tax of service performed on certain fishing vessels.",,,,,,
"S. 390",https://www.congress.gov/bill/99th-congress/senate-bill/390,"99th Congress (1985-1986)","A bill for the relief of Jose de la Luz Carmona-Frias and his wife Silvia Rascon de Carmona.","Eagleton, Thomas F. [Sen.-D-MO] (Introduced 02/05/1985)",Democratic,02/05/1985,"Senate - Judiciary","Referred to Subcommittee on Immigration and Refugee Policy.",03/27/1985,"Danforth, John C. [Sen.-R-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Declares two named individuals to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 389",https://www.congress.gov/bill/99th-congress/senate-bill/389,"99th Congress (1985-1986)","A bill to clarify procedures for the disposal of Federal lands for use for public airport purposes.","Inouye, Daniel K. [Sen.-D-HI] (Introduced 02/05/1985)",Democratic,02/05/1985,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce.",02/05/1985,"Matsunaga, Spark M. [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Airports,Aviation,"Land transfers","Public Contracts, Procurement, and Property","Public Lands and Real Property","Public Lands and Natural Resources","Surplus government property","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the Airport and Airway Improvement Act of 1982 to repeal the requirement that the Attorney General approve the transfer of Government-owned lands to State and local governments for public airport purposes. Makes the provisions of the Surplus Property Act of 1944 (relating to the disposition of property for public airports) inapplicable to this Act by removing the authority of the Administrator of the General Services Administration to approve transfers of Federal surplus property for airport development purposes.  (The Secretary of Transportation is thus left with sole authority to transfer Federal property for airport development purposes whether or not such property has been declared surplus.)",,,,,,
"S. 387",https://www.congress.gov/bill/99th-congress/senate-bill/387,"99th Congress (1985-1986)","A bill to require the establishment of a national cemetery on the island of Oahu in the State of Hawaii.","Inouye, Daniel K. [Sen.-D-HI] (Introduced 02/05/1985)",Democratic,02/05/1985,"Senate - Veterans' Affairs","Committee on Veterans requested executive comment from VA, OMB.",02/07/1985,"Matsunaga, Spark M. [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Armed Forces and National Security","Cemeteries and funerals",Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Directs the Administrator of Veterans Affairs to establish a national cemetery on Oahu, Hawaii.",,,,,,
"S. 385",https://www.congress.gov/bill/99th-congress/senate-bill/385,"99th Congress (1985-1986)","A bill to prohibit acquisitions officers of the Federal Government from accepting compensation from certain contractors; to prohibit certain contractors from paying compensation to certain acquisitions officers of the Federal Government; to provide criminal penalties for the prohibited conduct, and for other purposes.","Proxmire, William [Sen.-D-WI] (Introduced 02/05/1985)",Democratic,02/05/1985,"Senate - Governmental Affairs","Committee on Governmental Affairs received executive comment from GAO.",06/06/1985,"Gore, Albert, Jr. [Sen.-D-TN]","Melcher, John [Sen.-D-MT]","Simon, Paul [Sen.-D-IL]","Burdick, Quentin N. [Sen.-D-ND]","Durenberger, Dave [Sen.-R-MN]","Kerry, John F. [Sen.-D-MA]","Exon, J. James [Sen.-D-NE]","Mattingly, Mack [Sen.-R-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Conflict of interests","Crime prevention","District of Columbia","Federal employees","Federal employees and officials","Government Operations and Politics","Government procurement","Misconduct in office","Public Contracts, Procurement, and Property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Federal Acquisitions Officers Ethical Conduct Act of 1985 - Prohibits an acquisition officer who has officially engaged in a procurement contract from accepting compensation from contractors receiving funds under such contracts for a period of two years after termination of employment with the Federal Government or with the District of Columbia.  Sets forth:  (1) exceptions to such prohibition; (2) criminal penalties for violations; and (3) defenses for cases brought against violators. <p>Authorizes an acquisitions officer who is offered compensation to apply to the Office of Personnel Management (OPM) for advice on the applicability of this Act.  Sets forth provisions to be included in such application. Requires OPM to issue a final advisory opinion within 30 days of receipt of an application. Requires the Director of OPM to inform the Congress, and publish notice in the Federal Register within 30 days of issuance of an advisory opinion. <p>Directs OPM to coordinate and review the implementation and administration of this Act.",,,,,,
"S. 384",https://www.congress.gov/bill/99th-congress/senate-bill/384,"99th Congress (1985-1986)","A bill to authorize appropriations for a highway demonstration project on U.S. Highway 71 between Alma, Arkansas, and Bella Vista, Arkansas, that would increase the number of lanes on this segment of the route from two to four.","Bumpers, Dale [Sen.-D-AR] (Introduced 02/05/1985)",Democratic,02/05/1985,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",02/05/1985,"Pryor, David H. [Sen.-D-AR]","Gore, Albert, Jr. [Sen.-D-TN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Arkansas,"Federal aid highway program","Highway construction and repair","Highway engineering","Roads and highways","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Authorizes the Secretary of Transportation to implement a highway project in the vicinity of Bella Vista, Arkansas, to demonstrate methods of improving highway safety and accelerating highway construction. <p>Authorizes appropriations through FY 1986 without imposing any obligation limitation upon such appropriations.  Makes the Federal share for such highway project 100 percent of the total cost of the project.",,,,,,
"S. 383",https://www.congress.gov/bill/99th-congress/senate-bill/383,"99th Congress (1985-1986)","A bill to authorize appropriations for a highway demonstrations project in the vicinity of Fort Smith, Arkansas, that would widen a segment of the Federal-aid urban system and would improve signalization on such segment.","Bumpers, Dale [Sen.-D-AR] (Introduced 02/05/1985)",Democratic,02/05/1985,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",02/05/1985,"Pryor, David H. [Sen.-D-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Arkansas,"Federal aid highway program","Highway construction and repair","Highway engineering","Roads and highways","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Authorizes the Secretary of Transportation to implement a highway project in the vicinity of Fort Smith, Arkansas, to demonstrate the economic growth and development benefits of widening a segment of the Federal-aid urban system connecting a community college and a large commercial center. <p>Authorizes appropriations without subjecting such appropriations to any obligation limitation. Makes the Federal share for such highway project 100 percent of the total cost of the project.",,,,,,
"S. 382",https://www.congress.gov/bill/99th-congress/senate-bill/382,"99th Congress (1985-1986)","A bill to amend the Consolidated Farm and Rural Development Act relating to the standard of eligibility for water and waste facility grants.","Bumpers, Dale [Sen.-D-AR] (Introduced 02/05/1985)",Democratic,02/05/1985,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture.",02/05/1985,"Stennis, John C. [Sen.-D-MS]","Pryor, David H. [Sen.-D-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Agricultural credit","Agriculture and Rural Affairs","Agriculture and Food","Environmental Protection","Federally-guaranteed loans",Groundwater,"Refuse and refuse disposal","Rural affairs legislation","Rural conditions",Standards,"Waste disposal sites","Water and Water Resources Development","Water pollution control","Water supply","Water use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the Consolidated Farm and Rural Development Act regarding water and waste facility grant eligibility standards to establish the nonmetropolitan median household income threshold at no lower than the national poverty level (as established by the Office of Management and Budget).  Authorizes the Secretary of Agriculture to waive such requirement to avoid a serious groundwater contamination.",,,,,,
"S. 381",https://www.congress.gov/bill/99th-congress/senate-bill/381,"99th Congress (1985-1986)","A bill for the relief of Mishleen Earle.","Metzenbaum, Howard M. [Sen.-D-OH] (Introduced 02/05/1985)",Democratic,02/05/1985,"House - Judiciary | Senate - Judiciary","Became Private Law No: 99-1.",05/15/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 377",https://www.congress.gov/bill/99th-congress/senate-bill/377,"99th Congress (1985-1986)","A bill to provide for a General Accounting Office investigation and report on conditions of displaced Salvadorans, to provide certain rules of the House of Representatives and of the Senate with respect to review of the report, to provide for the temporary stay of detention and deportation of certain Salvadorans, and for other purposes.","DeConcini, Dennis [Sen.-D-AZ] (Introduced 02/05/1985)",Democratic,02/05/1985,"Senate - Judiciary","Subcommittee on Immigration and Refugee Policy. Approved for full committee consideration without amendment without recommendation.",09/30/1985,"Boschwitz, Rudy [Sen.-R-MN]","Durenberger, Dave [Sen.-R-MN]","Kennedy, Edward M. [Sen.-D-MA]","Leahy, Patrick J. [Sen.-D-VT]","Pell, Claiborne [Sen.-D-RI]","Specter, Arlen [Sen.-R-PA]","Melcher, John [Sen.-D-MT]","Simon, Paul [Sen.-D-IL]","Kerry, John F. [Sen.-D-MA]","Levin, Carl [Sen.-D-MI]","Moynihan, Daniel Patrick [Sen.-D-NY]","Harkin, Tom [Sen.-D-IA]","Riegle, Donald W., Jr. [Sen.-D-MI]","Sarbanes, Paul S. [Sen.-D-MD]","Cranston, Alan [Sen.-D-CA]","Inouye, Daniel K. [Sen.-D-HI]","Hatfield, Mark O. [Sen.-R-OR]","Metzenbaum, Howard M. [Sen.-D-OH]","Bumpers, Dale [Sen.-D-AR]","Baucus, Max [Sen.-D-MT]","Heinz, John [Sen.-R-PA]","Hart, Gary W. [Sen.-D-CO]","Weicker, Lowell P., Jr. [Sen.-R-CT]","Bradley, Bill [Sen.-D-NJ]","Bingaman, Jeff [Sen.-D-NM]","Dodd, Christopher J. [Sen.-D-CT]","Hollings, Ernest F. [Sen.-D-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Aliens,"Congress and Members of Congress","Congressional oversight",Deportation,"Detention of persons","El Salvador","Government paperwork","Government records, documents, and information","Illegal aliens",Immigration,"International Affairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.822,,,CRS,Senate,"09/16/1986 Placed on Union Calendar No: 502.",,,"<p><b>Title I:  General Accounting Office Investigation and Report</b> - Directs the General Accounting Office to investigate the situation of displaced nationals of El Salvador, including determinations of those Salvadorans in Central America, unlawfully in the United States, or returned from the United States to El Salvador.  Requires a report to the Congress. <p><b>Title II:  Congressional Review</b> - Provides that such report shall be referred to the appropriate committees for hearings and committee reports. <p><b>Title III:  Temporary Stay of Deportation</b> - Provides for a temporary stay of detention and deportation for specified Salvadorans presently in the United States.",,,,,,
"S. 375",https://www.congress.gov/bill/99th-congress/senate-bill/375,"99th Congress (1985-1986)","A bill for the relief of Elizabeth Khakshouri, Paul Khakshouri, Nathan Khakshouri, and David Khakshouri.","Burdick, Quentin N. [Sen.-D-ND] (Introduced 02/05/1985)",Democratic,02/05/1985,"Senate - Judiciary","Referred to Subcommittee on Immigration and Refugee Policy.",05/06/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Declares four named individuals to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 373",https://www.congress.gov/bill/99th-congress/senate-bill/373,"99th Congress (1985-1986)","A bill to establish competitive oil and gas leasing and establish fairer leasing procedures for onshore federal lands.","Bumpers, Dale [Sen.-D-AR] (Introduced 01/31/1985)",Democratic,01/31/1985,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",01/31/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Competition,Energy,"Environmental assessment","Environmental Protection","Government procurement","Oil and gas leases",Petroleum,"Petroleum and petroleum products","Public Contracts, Procurement, and Property","Public Lands and Real Property","Public Lands and Natural Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Federal Oil and Gas Leasing Act of 1985 - Amends the Mineral Leasing Act of 1920 to permit the Secretary of the Interior (the Secretary) to lease onshore Federal lands for oil and gas development by competitive bidding only.  Requires such bidding to be based upon those bidding systems set forth in the Outer Continental Shelf Lands Act which the Secretary determines would maximize competition. <p>Directs the Secretary, at least once each quarter, to invite public nomination of areas favorable for the discovery of oil or gas.  Provides that any area which the Secretary determines to be available and suitable for oil and gas leasing shall automatically be offered for lease if the area receives either:  (1) two or more public nominations; or (2) a single nomination in two successive quarters. <p>Directs the Secretary to hold quarterly competitive oil and gas lease sales, consisting of nominated tracts and any additional areas selected by the Secretary. <p>Increases the size of leasable tracts by a specified amount. <p>Provides for an initial lease period of five years and an extension of up to five years.  Requires extension applications to include an exploration plan. Authorizes extensions only if the lessee could not explore during the initial lease period due to adverse technical, economic, or environmental conditions. <p>Increases the minimum annual rental fee from 50 cents to two dollars per acre.  Prescribes an increased minimum royalty of four dollars per acre (up from one dollar) in lieu of rental. <p>Provides that actions taken by the Secretary pursuant to the bidding, nomination, and leasing procedures under this Act shall not be considered ""major Federal actions"" for purposes of the National Environmental Policy Act. <p>Permits the Secretary to disapprove an assignment of a lease in specified circumstances. <p>Directs the Secretary to issue regulations within 180 days of enactment.",,,,,,
"S. 372",https://www.congress.gov/bill/99th-congress/senate-bill/372,"99th Congress (1985-1986)","A bill to amend the Mineral Lands Leasing Act of 1920, and for other purposes.","Johnston, J. Bennett [Sen.-D-LA] (Introduced 01/31/1985)",Democratic,01/31/1985,"Senate - Energy and Natural Resources","Committee on Energy and Natural Resources received executive comment from Interior Department. Favorable.",05/07/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Coal,"Congress and Members of Congress","Congressional oversight","Government paperwork","Government records, documents, and information","Information leaking","Mines and mineral resources","Mining royalties","Public Lands and Real Property","Public Lands and Natural Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Federal Coal Leasing Amendments Act of 1985 - Amends the Mineral Lands Leasing Act to prohibit the issuance of coal deposit leases if the applicant holds coal deposit leases issued prior to August 4, 1976, which have not been producing coal in commercial quantities for a period of ten years.  Exempts from such prohibition leaseholders who:  (1) agree to relinquish such non-productive coal leases; or (2) pay an additional rental on coal deposits being acquired and hold no more than two non-productive coal leases issued before August 4, 1976. <p>Provides for automatic royalty readjustments at specified percentages for surface-mined coal and for coal recovered by underground mining operations under leases issued before August 4, 1976. <p>Terminates at the end of ten years 20-year leases that are not producing coal in commercial quantities unless the tenth lease year is extended through payment of advance royalties.  Sets guidelines for the assessment of such royalties. Provides that such advance royalty payments constitute compliance with this Act's diligent operation requirements. <p>Repeals the requirement that an operation and reclamation plan must be submitted within three years after a lease is issued. <p>Directs the Secretary of the Interior to promulgate rules regarding experimentation with the negotiated sale of leases for bypass and maintenance tracts. <p>Prohibits the disclosure of coal-tract value data by Department of the Interior personnel to anyone not associated with the Department.  Imposes criminal penalties for disclosure violations. <p>Directs the Comptroller General of the General Accounting Office to report semiannually to the Congress regarding management and enforcement of coal production on leased lands for a period of five years after enactment of this Act.",,,,,,
"S. 370",https://www.congress.gov/bill/99th-congress/senate-bill/370,"99th Congress (1985-1986)","A bill to make available supplemental assistance for famine relief and recovery in Africa.","Melcher, John [Sen.-D-MT] (Introduced 01/31/1985)",Democratic,01/31/1985,"Senate - Appropriations","Read twice and referred to the Committee on Appropriations.",01/31/1985,"Baucus, Max [Sen.-D-MT]","Sarbanes, Paul S. [Sen.-D-MD]","Simon, Paul [Sen.-D-IL]","Kennedy, Edward M. [Sen.-D-MA]","Levin, Carl [Sen.-D-MI]","Moynihan, Daniel Patrick [Sen.-D-NY]","Pryor, David H. [Sen.-D-AR]","Kerry, John F. [Sen.-D-MA]","Andrews, Mark [Sen.-R-ND]","Matsunaga, Spark M. [Sen.-D-HI]","Boren, David L. [Sen.-D-OK]","Metzenbaum, Howard M. [Sen.-D-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Africa,"Agricultural price supports","Agricultural surpluses","Agriculture and Rural Affairs","American economic assistance",Appropriations,Authorization,"Disaster relief","Disasters and Disaster Relief","Economics and Public Finance","Food and Food Industry","Food relief",Immigration,"International Affairs",Nutrition,Refugees,"Rural economic development","Supplemental appropriations",Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>African Famine Relief and Recovery Act of 1985 - <b>Title I: Authorizations of Appropriations</b> - Authorizes supplemental appropriations for FY 1985 for famine relief in Africa for:  (1) agricultural development programs; (2) international disaster assistance programs; (3) development program operating expenses; and (4) the Migration and Refugee Assistance account of the State Department. <p><b>Title II:  Appropriations</b> - Makes supplemental appropriations for FY 1985 to:  (1) the Department of Agriculture for Public Law 480; (2) the Agency for International Development for specified agriculture, rural development, and nutrition programs, for international disaster assistance, and for operating expenses; and (3) the Department of State for migration and refugee assistance. <p>Directs the Secretary of Agriculture, in order to prevent waste of commodities acquired by the Commodity Credit Corporation through price support operations, to make at least 300,000 metric tons of agricultural commodities available for FY 1985, provided that at least one third of such commodities are wheat or wheat products. <p>Declares that funds appropriated for Public Law 480, for agriculture, rural development, and nutrition programs (other than funds for rehabilitation and recovery projects), and for international disaster assistance shall be available only for those African countries which suffer from exceptional food supply problems in 1985 due to drought and other calamities.  Permits the use of Public Law 480 funds to reimburse certain ongoing famine relief programs.  Permits FY 1985 funds to be carried into FY 1986.  Declares that funds for rehabilitation and recovery projects and for migration and refugee assistance shall be available only to those African countries which have suffered in the last two years from exceptional food supply problems due to drought and other calamities.",,,,,,
