"Downloaded on",03/04/2025,"18:24:24 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%2296%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 1751",https://www.congress.gov/bill/96th-congress/senate-bill/1751,"96th Congress (1979-1980)","A bill to amend section 103 of the Internal Revenue Code of 1954 to provide that the interest on certain mortgage revenue bonds will not be exempt from Federal income tax.","Hatfield, Mark O. [Sen.-R-OR] (Introduced 09/14/1979)",Republican,09/14/1979,"Senate - Finance","Referred to Senate Committee on Finance.",09/14/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security","Economics and Public Finance","Government securities","Income tax",Interest,"Local and Municipal Government","Local finance","Low-income housing","Moderate income housing",Mortgages,"Securities and Investments","State finance",States,"Tax exclusion",Taxation,"Housing and Housing Finance","Housing and Community Development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Internal Revenue Code to include in the gross income of an individual the interest received on any mortgage revenue bond except:  (1) State and local government-secured bonds substantially all the proceeds of which are to be used directly or indirectly to provide residences for veterans; and (2) certain low-and moderate-income housing bonds issued by a State or an otherwise qualified housing agency. <p>Restricts the latter exception to issues whose proceeds are used to assist households with an annual income not in excess of 95 percent of the applicable median income, or not in excess of 150 percent of such median income if the mortgage loan (or other owner-financing) is for a single-family, owner-occupied residence in a designated Neighborhood Strategy area.  Requires 75 percent of the bond issue proceeds to finance homes with a maximum 90 percent loan-to-value ratio. <p>Limits the aggregate authorized face value of such an issue to:  (1) $250 times the number of individuals in the bond issue area; or (2) five percent of the total amount of mortgage loans made in such area during the three years preceding the year of issue.  Specifies additional restrictions on the use of loans financed by such issue.",,,,,,
"S. 1740",https://www.congress.gov/bill/96th-congress/senate-bill/1740,"96th Congress (1979-1980)","A bill to amend the Railroad Retirement Act of 1974 to include employment with the National Transportation Safety Board among the types of employment in which an individual may engage while retaining current connection with the railroad industry.","Tower, John G. [Sen.-R-TX] (Introduced 09/12/1979)",Republican,09/12/1979,"Senate - Labor and Human Resources","Referred to Senate Committee on Labor and Human Resources.",09/12/1979,"Magnuson, Warren G. [Sen.-D-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Federal employees","Government Operations and Politics","Labor and Employment","Railroad employees","Railroad retirement plans",Railroads,"Transportation safety","National Transportation Safety Board",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Railroad Retirement Act of 1974 to stipulate that an individual who is employed by the National Transportation Safety Board shall not lose his or her ""current connection with the railroad industry"" for purposes of benefit eligibility under such Act.",,,,,,
"S. 1739",https://www.congress.gov/bill/96th-congress/senate-bill/1739,"96th Congress (1979-1980)","A bill to amend the Federal, Food, and Cosmetic Act to require certain warning labels on prescription drugs.","Heinz, John [Sen.-R-PA] (Introduced 09/11/1979)",Republican,09/11/1979,"Senate - Labor and Human Resources","Referred to Senate Committee on Labor and Human Resources.",09/11/1979,"Melcher, John [Sen.-D-MT]","Bellmon, Henry L. [Sen.-R-OK]","Moynihan, Daniel Patrick [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Commerce,"Consumer protection","Drug industry","Drug safety and regulation","Drugs and narcotics","Labeling laws",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Federal Food, Drug, and Cosmetic Act to require specified drugs found by the Secretary to be hazardous when used in combination with alcohol to be deemed misbranded if the label of such drug fails to disclose such information.",,,,,,
"S. 1737",https://www.congress.gov/bill/96th-congress/senate-bill/1737,"96th Congress (1979-1980)","A bill for the relief of Monchito C. Entena, Antonia V. Entena, Robert Entena, Cathleah Entena, Arvin Entena, and Eliza R. Ayala.","Boschwitz, Rudy [Sen.-R-MN] (Introduced 09/11/1979)",Republican,09/11/1979,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",09/11/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Declares certain individuals lawfully admitted to the United States for permanent residence, under the Immigration and Nationality Act.",,,,,,
"S. 1735",https://www.congress.gov/bill/96th-congress/senate-bill/1735,"96th Congress (1979-1980)","A bill to prevent the increase of salary for Members of the Senate and House of Representatives.","Hatch, Orrin G. [Sen.-R-UT] (Introduced 09/10/1979)",Republican,09/10/1979,"Senate - Governmental Affairs","Referred to Senate Committee on Governmental Affairs.",09/10/1979,"Garn, E. J. (Jake) [Sen.-R-UT]","Hayakawa, Samuel Ichiye [Sen.-R-CA]","Leahy, Patrick J. [Sen.-D-VT]","Stone, Richard (Dick) [Sen.-D-FL]","Thurmond, Strom [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Congress,"Congress and Congressmen","Congressional salaries and pensions","Presidents and Vice Presidents","Vice Presidents","Members of Congress",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5270,,,,Senate,,"09/13/1979 Referred to House Committee on Post Office and Civil Service.",,,,"<p>Congressional Pay Cap Act of 1979 - Prohibits the salaries of the Vice President, Senators, Members of the Representatives, the Resident Commissioner of Puerto Rico, the Speaker of the House of Representatives, the President pro tempore of the Senate, and the majority and minority leaders of the Senate and the House of Representatives from exceeding the rate of pay in effect on September 30, 1978.",,,,,,
"S. 1734",https://www.congress.gov/bill/96th-congress/senate-bill/1734,"96th Congress (1979-1980)","A bill to amend the Internal Revenue Code of 1954 to provide that the first $5,000 of income of individuals 65 years of age or over shall be excluded from gross income.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 09/10/1979)",Republican,09/10/1979,"Senate - Finance","Referred to Senate Committee on Finance.",09/10/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Employee benefit plans",Income,"Income tax","Labor and Employment","Social Welfare","Tax exclusion",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Internal Revenue Code to exclude from gross income of any individual who has attained the age of 65 the first $5,000 of income, including any amount received as a pension or annuity, which would otherwise be included in such gross income.",,,,,,
"S. 1733",https://www.congress.gov/bill/96th-congress/senate-bill/1733,"96th Congress (1979-1980)","A bill to extend for one year the effective date of the provision relating to changes in exclusions from Federal income tax for sick pay.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 09/10/1979)",Republican,09/10/1979,"Senate - Finance","Referred to Senate Committee on Finance.",09/10/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Income tax","Labor and Employment","Tax exclusion",Taxation,"Workers' compensation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Tax Reform Act of 1976, as amended by the Tax Reduction and Simplification Act of 1977, to postpone the effective dates of certain changes in Federal income tax exclusions for sick pay from December 31, 1976, to December 31, 1977, or from January 1, 1977, to January 1, 1978, as the case may be.",,,,,,
"S. 1732",https://www.congress.gov/bill/96th-congress/senate-bill/1732,"96th Congress (1979-1980)","A bill to amend the Internal Revenue Code of 1954 to eliminate the disability requirement from the sick pay exclusion and to make the exclusion available to all individuals regardless of age.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 09/10/1979)",Republican,09/10/1979,"Senate - Finance","Referred to Senate Committee on Finance.",09/10/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Income tax","Tax exclusion",Taxation,"Workers' compensation","Labor and Employment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Internal Revenue Code to repeal the disability and income requirements for the sick pay exclusion enacted by the Tax Reform Act of 1976, and to restore prior law.  Makes such repeal retroactive to January 1, 1978.",,,,,,
"S. 1731",https://www.congress.gov/bill/96th-congress/senate-bill/1731,"96th Congress (1979-1980)","A bill to impose a windfall profit tax on domestic crude oil.","Chafee, John H. [Sen.-R-RI] (Introduced 09/10/1979)",Republican,09/10/1979,"Senate - Finance","Referred to Senate Committee on Finance.",09/10/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Department of the Treasury","Excess profits tax","Excise tax","Fines (Penalties)","Government trust funds",Petroleum,"Petroleum and petroleum products","Petroleum industry","Petroleum prices","Tax administration",Taxation,"Trusts and trustees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Crude Oil Windfall Profit Tax Act of 1979 - Amends the Internal Revenue Code to impose an excise tax on the windfall profit from taxable crude oil removed during each taxable period.  Sets the amount of such tax at: (1) 75 percent of the windfall profit on each barrel of tier 1 oil and tier 2 oil; and (2) 60 percent of such profit on each barrel of tier 3 oil.  Defines: (1) tier 1 oil as domestic crude oil which would have been subject to the lower tier ceiling price if the pre- June, 1979 controls had continued; (2) tier 2 oil as domestic crude oil which would have been subject to the upper tier ceiling price if the pre-June, 1979 controls had continued; and (3) tier 3 oil as stripper oil, oil from marginal properties, or other oil which is neither tier 1 or tier 2 oil.  Exempts from such windfall tax newly discovered oil, incremental tertiary oil, heavy crude oil, and oil produced on a property after December, 1984, which is in excess of a base level computed according to a specified formula. Defines windfall profit as the excess of the removal price of a barrel of crude oil over the sum of the adjusted base price of such barrel and the amount of the severance tax adjustment computed according to a prescribed formula. <p>Requires the purchaser of a barrel of taxable crude oil to collect the tax on it from the producer. Requires the purchaser (or the operator of the well from which the barrel is purchased, if purchaser and operator so elect) to furnish the taxpayer- producer with a monthly statement containing: (1) the amount of the oil so purchased; (2) the removal price of such oil; (3) the base price and adjusted base price; (4) the amount of the taxpayer's liability for such oil; and (5) any other information the Secretary of Energy may require.  Requires the taxpayer-producer to keep such records as the Secretary may require.  Prescribes criminal penalties for willful failure to furnish the information required in such monthly statement. Requires that similar information be furnished to partners and to beneficiaries of estates and trusts, but prescribes no particular criminal penalty for willful failure to do so. <p>Establishes in the Treasury of the United States the Energy Trust Fund, for deposit of appropriations equivalent to the amount of windfall taxes collected under this Act.  Requires investment of a portion of such fund in interest-bearing obligations of the United States only. <p>Directs the President to report to Congress not later than January 1, 1983, on the effect of decontrol of oil prices and the windfall profit tax on: (1) domestic oil production; (2) foreign oil imports; (3) profits of the oil industry; (4) inflation; (5) employment; (6) economic growth; (7) Federal revenues; and (8) national security.",,,,,,
"S. 1730",https://www.congress.gov/bill/96th-congress/senate-bill/1730,"96th Congress (1979-1980)","A bill to declare that title to certain lands in the State of New Mexico are held in trust by the United States for the Ramah Band of the Navajo Tribe.","Domenici, Pete V. [Sen.-R-NM] (Introduced 09/10/1979)",Republican,09/10/1979,"House - Interior and Insular Affairs | Senate - Indian Affairs (Select)","Public Law 96-333.",08/29/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Federal-Indian relations","Indian lands","Native Americans","New Mexico","Public Lands and Real Property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5003,,,,Senate,,"08/19/1980 Measure laid on table in House (See S. 1730 as passed House for similar provisions).",,,,"<p>Declares that title to specified lands in the State of New Mexico is held in trust by the United States for the Ramah Band of the Navajo Tribe.",,,,,,
"S. 1729",https://www.congress.gov/bill/96th-congress/senate-bill/1729,"96th Congress (1979-1980)","A bill to provide for automatic transfer of funds, drafts, and remote service units.","Lugar, Richard G. [Sen.-R-IN] (Introduced 09/10/1979)",Republican,09/10/1979,"Senate - Banking, Housing, and Urban Affairs","Referred to Senate Committee on Banking, Housing and Urban Affairs.",09/10/1979,"Morgan, Robert B. [Sen.-D-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Bank accounts","Bank deposits","Bank reserves","Credit unions","Electronic funds transfers","Federal Reserve System","Finance and Financial Sector","Government Operations and Politics","National Credit Union Administration","National banks","Savings and loan associations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Consumer Banking Act of 1979 - Amends the Federal Reserve Act and the Federal Deposit Insurance Act to authorize member banks in the Federal Reserve System and federally insured nonmember banks to make automatic funds transfers from a savings deposit to a demand deposit pursuant to the written authorization of the depositor to make such transfers in connection with checks or drafts drawn upon the bank. <p>Amends the Home Owners' Loan Act of 1933 to permit Federal savings and loan associations and Federal mutual savings banks to establish remote service units pursuant to regulations of the Federal Home Loan Bank Board. <p>Amends the Federal Credit Union Act to permit insured credit unions to offer share draft deposits to individuals and nonprofit organizations in accordance with regulations prescribed by the National Credit Union Administration Board.  Requires each Federal credit union to maintain reserves against such deposits in amounts and forms prescribed by the Board after consultation with the Board of Governors of the Federal Reserve System.",,,,,,
"S. 1726",https://www.congress.gov/bill/96th-congress/senate-bill/1726,"96th Congress (1979-1980)","A bill to amend section 103 of the Internal Revenue Code of 1954 to provide that the interest on certain mortgage revenue bonds will not be exempt from Federal income tax.","Heinz, John [Sen.-R-PA] (Introduced 09/07/1979)",Republican,09/07/1979,"Senate - Finance","Referred to Senate Committee on Finance.",09/07/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Economics and Public Finance","Government securities","Housing and Housing Finance","Income tax",Interest,"Local and Municipal Government","Local finance",Mortgages,"Securities and Investments","State finance","Tax exclusion","Urban affairs","Urban renewal",States,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Internal Revenue Code to include in gross income the interest on any mortgage revenue bonds which are unsecured by any Federal, State, or local obligations.  Excepts from such inclusion interest on any mortgage revenue bond issued as part of a bond issue substantially all of the proceeds of which are to be used in any State or local government housing, redevelopment, or renewal program with respect to which the bond issuer makes a program contribution equal to at least five percent of the aggregate authorized face amount of such issue.  Defines the kinds of payments covered by the term ""program contribution"".",,,,,,
"S. 1715",https://www.congress.gov/bill/96th-congress/senate-bill/1715,"96th Congress (1979-1980)","A bill for the relief of Jerry L. Crow.","Stevens, Ted [Sen.-R-AK] (Introduced 09/05/1979)",Republican,09/05/1979,"House - Interior and Insular Affairs | Senate - Judiciary","Referred to House Committee on Interior and Insular Affairs.",09/29/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Permits an individual to acquire certain real property for a prospective commercial enterprise.",,,,,,
"S. 1710",https://www.congress.gov/bill/96th-congress/senate-bill/1710,"96th Congress (1979-1980)","A bill to provide procedures for calling Federal constitutional conventions under Article V for the purpose of proposing amendments to the United States Constitution.","Hatch, Orrin G. [Sen.-R-UT] (Introduced 09/05/1979)",Republican,09/05/1979,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",09/05/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Constitution and constitutional amendments","Constitutional conventions","Courts and Civil Procedure",Law,"Ratification of constitutional amendments","State legislatures",States,"Supreme Court","Judicial review",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Constitutional Convention Implementation Act of 1979 - Sets forth procedures for Federal constitutional conventions with respect to: (1) applications; (2) calling; (3) delegates; (4) convening; (5) operation; (6) congressional approval; (7) ratification; and (8) judicial review.",,,,,,
"S. 1708",https://www.congress.gov/bill/96th-congress/senate-bill/1708,"96th Congress (1979-1980)","A bill to reorganize the executive branch of the Government to consolidate different governmental agencies with respect to energy technology, and for other purposes.","Percy, Charles H. [Sen.-R-IL] (Introduced 08/03/1979)",Republican,08/03/1979,"Senate - Governmental Affairs","Referred to Senate Committee on Governmental Affairs.",08/03/1979,"Stevens, Ted [Sen.-R-AK]","Tsongas, Paul E. [Sen.-D-MA]","Domenici, Pete V. [Sen.-R-NM]","Kennedy, Edward M. [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Business and commerce","Department of Energy","Economics and Public Finance","Energy conservation","Energy development","Energy policy","Executive reorganization","Federal aid programs","Government and business","Government Operations and Politics",Grants-in-aid,"Local and Municipal Government","Local finance","Research and development","Science, Technology, Communications","Small business","Technology assessment",Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Small Scale Energy Technology Programs Reorganization Act - Defines the term ""small-scale technology"" to include renewable energy and other technologies, products, and services which contribute to energy production, conservation, and awareness among end users in a manner which is simple, environmentally sound, and reliant upon available labor. <p>Establishes and Office of Small Scale Technology within the Department of Energy.  Requires the Office to incorporate the energy technology small grants program of the Department. <p>Directs the Secretary of Energy, through the Director of such Office, to: (1) make grants to small businesses and localities for small-scale technology; (2) certify the performance of small-scale technology equipment and demonstration models developed by grantees; (3) assist in the marketing of certified technologies; (4) provide information on the benefits and availability of small-scale technology and the role of small business in its production; (5) assist State and local governments in the use of such technology; and (6) coordinate domestic and international small-scale technology programs. <p>Sets forth procedures for the administration by the Office of the small grants program.  Limits any such grant to not more than $100,000 for any two-year period. <p>Directs the Secretary to initiate a program to promote the use of small-scale technology and to improve the competitive position of small, energy-related businesses.  Requires the Secretary to provide grants to small businesses and localities to expand the use of certified technologies. <p>Requires the Director to conduct and submit to Congress a study on the practicality of integrating all functions of the Energy-Related Inventions Program into the Office of Small Scale Technology. <p>Directs the Secretary to report to Congress concerning: (1) policy recommendations to the Department for utilizing small-scale technologies to meet the Nation's energy needs; (2) the advisability of modifying the Department's patent policy to enable small businesses to commercialize emerging technologies; and (3) the activities of the Office. <p>Establishes an Interagency Council on Small Scale Technology as an independent instrumentality of the U.S. in the executive branch.  Directs the Council to review, coordinate, and report to Congress on the current and potential small-scale technology programs of the Government.",,,,,,
"S. 1705",https://www.congress.gov/bill/96th-congress/senate-bill/1705,"96th Congress (1979-1980)","A bill to amend the Internal Revenue Code of 1954 with respect to the deduction of charitable contributions to organizations from which the taxpayer or a member of his family receives services.","Packwood, Bob [Sen.-R-OR] (Introduced 08/03/1979)",Republican,08/03/1979,"Senate - Finance","Referred to Senate Committee on Finance.",08/03/1979,"Melcher, John [Sen.-D-MT]","Church, Frank [Sen.-D-ID]","Eagleton, Thomas F. [Sen.-D-MO]","Hollings, Ernest F. [Sen.-D-SC]","Moynihan, Daniel Patrick [Sen.-D-NY]","Randolph, Jennings [Sen.-D-WV]","Thurmond, Strom [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Charitable contributions",Charities,"Income tax","Public Welfare and Charities","Tax-exempt organizations",Taxation,"Tax deductions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Internal Revenue Code to provide that a charitable contribution deduction shall not be denied to a taxpayer solely because of any benefit or service which is provided to the taxpayer or his family by the tax-exempt organization to which he contributes, except to the extent that such benefit or service is required as a condition of the contribution.",,,,,,
