"Downloaded on",03/04/2025,"18:32:14 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22103%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 849",https://www.congress.gov/bill/103rd-congress/senate-bill/849,"103rd Congress (1993-1994)","A bill to amend title XI of the Social Security Act to allow an adult member of a family or household to attest to the citizenship status of other family or household members, and for other purposes.","Dole, Robert J. [Sen.-R-KS] (Introduced 04/29/1993)",Republican,04/29/1993,"Senate - Finance","Read twice and referred to the Committee on Finance.",04/29/1993,"Packwood, Bob [Sen.-R-OR]","Chafee, John H. [Sen.-R-RI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Aid to dependent children",Citizenship,Health,Households,Medicaid,"Public assistance programs","Social security eligibility","Social Welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends title XI of the Social Security Act to allow an adult member of a family or household to attest to the citizenship status of other family or household members.",,,,,,
"S. 848",https://www.congress.gov/bill/103rd-congress/senate-bill/848,"103rd Congress (1993-1994)","A bill to amend the Agricultural Act of 1949 to modify the authority for haying and grazing on wheat and feed grain reduced acreage, and for other purposes.","Grassley, Chuck [Sen.-R-IA] (Introduced 04/29/1993)",Republican,04/29/1993,"Senate - Agriculture, Nutrition, and Forestry","Referred to Subcommittee on Agricultural Research.",07/01/1993,"Durenberger, Dave [Sen.-R-MN]","Brown, Hank [Sen.-R-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Agricultural economics","Agricultural price supports","Agriculture and Food","Feed grain program",Grazing,Leases,Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Agricultural Act of 1949 to modify the authority for haying and grazing on wheat and feed grain reduced acreage, including a provision under which producers can elect to lease such acreage back for specified fees.",,,,,,
"S. 847",https://www.congress.gov/bill/103rd-congress/senate-bill/847,"103rd Congress (1993-1994)","A bill to amend title 10, United States Code, to authorize the Secretaries of the military departments to prescribe the conditions under which female members of the Armed Forces may be assigned to duty on ships that are engaged in combat missions.","Roth Jr., William V. [Sen.-R-DE] (Introduced 04/29/1993)",Republican,04/29/1993,"Senate - Armed Services","Star Print ordered on the bill.",05/05/1993,"Kennedy, Edward M. [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Aircraft pilots","Armed Forces and National Security",Marines,"Naval aviation","Naval personnel",Warships,"Women soldiers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Deletes a Federal provision prohibiting the assignment of women to duty on vessels or in aircraft that are engaged in combat missions as well as their assignment to other than temporary duty on other Navy vessels.",,,,,,
"S. 845",https://www.congress.gov/bill/103rd-congress/senate-bill/845,"103rd Congress (1993-1994)","A bill to provide for the addition of the Truman Farm Home to the Harry S Truman National Historic Site in the State of Missouri, and for other purposes.","Bond, Christopher S. [Sen.-R-MO] (Introduced 04/29/1993)",Republican,04/29/1993,"Senate - Energy and Natural Resources","Subcommittee on Public Lands, National Parks. Hearings held. Hearings printed: S.Hrg. 103-407.",07/29/1993,"Danforth, John C. [Sen.-R-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Commemorations,Farms,"Government Operations and Politics","Historic sites","Land transfers",Missouri,"Public Lands and Natural Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Authorizes the Secretary of the Interior to acquire the Truman Farm Home in Grandview, Jackson County, Missouri, to add to the Harry S. Truman National Historic Site.",,,,,,
"S. 844",https://www.congress.gov/bill/103rd-congress/senate-bill/844,"103rd Congress (1993-1994)","A bill to amend the Public Health Service Act to establish a program to fund maternity home expenses and improve programs for the collection and disclosure of adoption information, and for other purposes.","Gorton, Slade [Sen.-R-WA] (Introduced 04/29/1993)",Republican,04/29/1993,"Senate - Labor and Human Resources","Read twice and referred to the Committee on Labor and Human Resources.",04/29/1993,"Nunn, Sam [Sen.-D-GA]","DeConcini, Dennis [Sen.-D-AZ]","Cochran, Thad [Sen.-R-MS]","Warner, John [Sen.-R-VA]","Grassley, Chuck [Sen.-R-IA]","Bingaman, Jeff [Sen.-D-NM]","Shelby, Richard C. [Sen.-D-AL]","McCain, John [Sen.-R-AZ]","Reid, Harry [Sen.-D-NV]","Bond, Christopher S. [Sen.-R-MO]","Craig, Larry E. [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,"Administrative procedure","Adopted children",Adoption,Childbirth,"Congressional reporting requirements","Data banks","Department of Health and Human Services",Disabled,"Discrimination in employment","Discrimination in insurance",Education,Families,"Federal advisory bodies","Federal aid to education","Federal aid to higher education","Federal aid to maternal health services","Government paperwork","Graduate education",Health,"Health insurance",Injunctions,"Parental leave","Pension funds","Pregnant women",Scholarships,"Social Welfare","Social work","Social workers","State laws","Civil actions and liability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Fairness for Adopted Children Act - Establishes the National Advisory Council on Adoption (the Council), to be appointed by the Secretary of Health and Human Services (HHS).  Authorizes appropriations for FY 1993 through 1995. Terminates such Council after three years. <p>Directs the Secretary of HHS to:  (1) report to the Congress, within 30 days, on the status of the implementation of the adoption data collection system required under specified provisions of the Social Security Act; (2) report monthly to the Congress on the progress made in implementing such system; and (3) consult with the Council in developing regulations to carry out such reporting requirements. <p>Amends the Public Health Service Act to require the Secretary to award grants to States to enable them to establish programs to provide maternal health certificates to eligible pregnant women who are residents of a maternity home, or on a waiting list or receiving out-patient services from a maternity home. Limits such women's income to 175 percent of the State poverty level, not including support received from parents, guardians, or the father of the child. <p>Sets forth eligibility requirements for the maternity home, including that it have the capability to serve at least four pregnant women concurrently. <p>Requires the use of certificates to pay the reasonable costs associated with residence in, or services of, the maternity home. Allows the use of certificates to cover expenses incurred during a period that ends not later than one month after the birth of the child.  Authorizes appropriations for FY 1993 through 1995. <p>Amends the Higher Education Act of 1965 (HEA) to establish a program of fellowships for graduate study in social work, in innovative programs concerning the effects of adoption on the adopted children, their adoptive families, and their biological parents who make an adoption plan.  Authorizes of appropriations for FY 1993 through 1995. <p>Directs the Secretary of Education, within one year after enactment of this Act, to make grants to States to carry out adoption education programs.  Authorizes appropriations for FY 1993 through 1995. <p>Amends the Employee Retirement Income Security Act of 1974 to prohibit discrimination by insurance companies in the writing or executing of insurance policies on the basis of whether a child is adopted. <p>Makes it an unlawful employment practice for an employer to discriminate against an employee with respect to a term or condition of any leave benefit on the basis of the fact that a child of an employee is not a biological child. <p>Amends the Social Security Act to provide payments to States for expenses incurred in placing a child with special needs in adoptive homes if the child is placed within three months of becoming available for adoption. <p>Expresses the sense of the Congress that each State should adopt and enforce specified types of adoption laws, rules, or regulations.",,,,,,
"S. 842",https://www.congress.gov/bill/103rd-congress/senate-bill/842,"103rd Congress (1993-1994)","A bill to provide for the transfer of funds to carry out the financing functions of the Small Business Administration under section 7(a) of the Small Business Act.","Pressler, Larry [Sen.-R-SD] (Introduced 04/29/1993)",Republican,04/29/1993,"Senate - Small Business","Read twice and referred to the Committee on Small Business.",04/29/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Commerce,"Federally-guaranteed loans","Government Operations and Politics","Reprogramming of appropriated funds","Small Business Administration","Small business",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Directs the Administrator of the Small Business Administration (SBA) to:  (1) initiate established procedures for the transfer of unobligated funds appropriated to the SBA for carrying out the small business guaranteed loan program authorized under the Small Business Act; and (2) submit a request for such transfer to the Senate Appropriations Committee. <p>Directs the SBA, until July 1, 1993, to continue to receive and process applications for such assistance.",,,,,,
"S. 841",https://www.congress.gov/bill/103rd-congress/senate-bill/841,"103rd Congress (1993-1994)","A bill to amend chapter 37 of title 31, United States Code, relating to false claims actions, and for other purposes.","Grassley, Chuck [Sen.-R-IA] (Introduced 04/29/1993)",Republican,04/29/1993,"Senate - Judiciary","Subcommittee on Courts and Administrative Practice. Hearings held. Hearings printed: S.Hrg. 103-27.",09/09/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Claims,"Congressional reporting requirements",Damages,"Disciplining of employees","Employee rights","Evidence (Law)","Federal employees",Fraud,"Government liability","Governmental investigations","Inspectors general",Law,"Limitation of actions","Popular actions","Whistle blowing","Civil actions and liability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>False Claims Amendments Act of 1993 - Amends the False Claims Act with respect to:  (1) dismissal of qui tam actions at Government motion in specified circumstances where all material allegations derive from an open and active Federal fraud investigation or the person bringing the action based on information learned in the course of Government employment failed to take certain administrative steps; (2) waiver by private parties of the Government's rights to recover damages under such Act as part of any court approved settlement of a potential qui tam suit; (3) whistleblower protection; (4) the definition of ""person"" under such Act; (5) the Act's statute of limitations; and (6) the authority under such Act to issue civil investigative demands. <p>Requires periodic reports by the Department of Justice to specified congressional committees on cases which the Department has moved to dismiss.",,,,,,
"S. 835",https://www.congress.gov/bill/103rd-congress/senate-bill/835,"103rd Congress (1993-1994)","A bill for the relief of Pandelis Perdikis.","Cohen, William S. [Sen.-R-ME] (Introduced 04/28/1993)",Republican,04/28/1993,"Senate - Judiciary","Referred to Subcommittee on Immigration and Refugee Affairs.",06/24/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 834",https://www.congress.gov/bill/103rd-congress/senate-bill/834,"103rd Congress (1993-1994)","A bill to amend title XVIII of the Social Security Act to provide for increased medicare reimbursement for physician assistants, to increase the delivery of health services in health professional shortage area, and for other purposes.","Grassley, Chuck [Sen.-R-IA] (Introduced 04/28/1993)",Republican,04/28/1993,"Senate - Finance","Read twice and referred to the Committee on Finance.",04/28/1993,"Conrad, Kent [Sen.-D-ND]","Inouye, Daniel K. [Sen.-D-HI]","DeConcini, Dennis [Sen.-D-AZ]","Dorgan, Byron L. [Sen.-D-ND]","Simon, Paul [Sen.-D-IL]","Chafee, John H. [Sen.-R-RI]","Pressler, Larry [Sen.-R-SD]","Daschle, Thomas A. [Sen.-D-SD]","Baucus, Max [Sen.-D-MT]","Exon, J. James [Sen.-D-NE]","Cohen, William S. [Sen.-R-ME]","Durenberger, Dave [Sen.-R-MN]","Hollings, Ernest F. [Sen.-D-SC]","Gorton, Slade [Sen.-R-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,Health,"Medical fees",Medicare,"Nurse practitioners","Physicians' assistants","Rural public health",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Physician Assistant Incentive Act of 1993 - Amends title XVIII (Medicare) of the Social Security Act to provide increased Medicare reimbursement for physician assistants at 97 percent of the physician fee schedule amount for services performed, regardless of the location or practice setting. <p>Provides for bonus payments for services provided by physician assistants in health professional shortage areas. <p>Removes restrictions on the employment relationship required for reimbursement of physician assistants and nurse practitioners to allow for independent contractor relationships.",,,,,,
"S. 833",https://www.congress.gov/bill/103rd-congress/senate-bill/833,"103rd Congress (1993-1994)","A bill to amend title XVIII of the Social Security Act to provide for increased medicare reimbursement for nurse practitioners, clinical nurse specialists, and certified nurse midwives, to increase the delivery of health services in health professional shortage areas, and for other purposes.","Grassley, Chuck [Sen.-R-IA] (Introduced 04/28/1993)",Republican,04/28/1993,"Senate - Finance","Read twice and referred to the Committee on Finance.",04/28/1993,"Conrad, Kent [Sen.-D-ND]","Inouye, Daniel K. [Sen.-D-HI]","DeConcini, Dennis [Sen.-D-AZ]","Dorgan, Byron L. [Sen.-D-ND]","Chafee, John H. [Sen.-R-RI]","Pressler, Larry [Sen.-R-SD]","Daschle, Thomas A. [Sen.-D-SD]","Akaka, Daniel K. [Sen.-D-HI]","Baucus, Max [Sen.-D-MT]","Simon, Paul [Sen.-D-IL]","Jeffords, James M. [Sen.-R-VT]","Exon, J. James [Sen.-D-NE]","Cohen, William S. [Sen.-R-ME]","Durenberger, Dave [Sen.-R-MN]","Hollings, Ernest F. [Sen.-D-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Health,Medicare,Midwives,"Nurse practitioners",Nurses,Nursing,"Rural public health",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Primary Care Health Practitioner Incentive Act of 1991 (sic) - Amends title XVIII (Medicare) of the Social Security Act to provide increased Medicare reimbursement for nurse practitioners, clinical nurse specialists, and certified nurse midwives (practitioners) for services performed without regard to location or practice setting. <p>Provides for bonus payments for services provided by such practitioners in health professional shortage areas. <p>Defines ""clinical nurse specialist"" as an individual who is a registered nurse, is licensed to practice nursing in the State in which the clinical nurse specialist services are performed, and holds a master's degree in a defined clinical area of nursing from an accredited educational institution.",,,,,,
"S. 825",https://www.congress.gov/bill/103rd-congress/senate-bill/825,"103rd Congress (1993-1994)","A bill to amend title 28 of the United States Code to permit a foreign state to be subject to the jurisdiction of Federal or State courts in any case involving an act of international terrorism.","Specter, Arlen [Sen.-R-PA] (Introduced 04/27/1993)",Republican,04/27/1993,"Senate - Judiciary","Placed on Senate Legislative Calendar under General Orders. Calendar No. 678.",09/28/1994,"Kohl, Herb [Sen.-D-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Air piracy",Aircraft,"Alien property",Aliens,"Americans in foreign countries",Assassination,Claims,"Crime and Law Enforcement",Damages,"Finance and Financial Sector","Foreign Trade and International Finance",Genocide,"Government liability (International law)",Homicide,Hostages,Immigration,"Immunities of foreign states","International Affairs","International arbitration","International courts","International trade",Jurisdiction,Kidnapping,Law,Liens,"Limitation of actions",Murder,Sabotage,Terrorism,Torture,"Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Federal judicial code to make an exception to the jurisdictional immunity of a foreign state in any case in which money damages are sought for personal injury or death of a U.S. citizen caused by the torture or extrajudicial killing of that citizen, or by an act of aircraft sabotage, hostage taking, or genocide committed against that citizen by such state or any agent of such state acting within the scope of office, employment, or agency. <p>Specifies that:  (1) such an action shall not be maintained unless the individual was a U.S. citizen at the time the conduct causing such injury or death occurred and unless the action is brought within ten years, or where the cause of action is based on an act of genocide occurring more than ten years before this Act's enactment date, within 18 months after such date; and (2) the court shall decline to hear a claim under this Act if the claimant has not exhausted adequate and available remedies in the place in which the conduct giving rise to the claim occurred and has not afforded the foreign state an opportunity to arbitrate the claim before an international tribunal in accordance with international standards. <p>Makes an exception to the immunity of the property of a foreign state used in the United States for commercial activity from attachment or execution if a judgment entered by a court of the United States or of a State relates to a claim for which, by virtue of this Act, the foreign state, agency, or instrumentality is not immune, regardless of whether the property is or was involved in the act upon which the claim is based.",,,,,,
