"Downloaded on",03/05/2025,"14:06:13 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%5B%22118%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%22Republican%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2740",https://www.congress.gov/bill/118th-congress/senate-bill/2740,"118th Congress (2023-2024)","Small Business Cyber Resiliency Act","Risch, James E. [Sen.-R-ID] (Introduced 09/07/2023)",Republican,09/07/2023,"Senate - Small Business and Entrepreneurship","Read twice and referred to the Committee on Small Business and Entrepreneurship.",09/07/2023,"Peters, Gary C. [Sen.-D-MI]","Rosen, Jacky [Sen.-D-NV]","Crapo, Mike [Sen.-R-ID]","Shaheen, Jeanne [Sen.-D-NH]","Cortez Masto, Catherine [Sen.-D-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 2738",https://www.congress.gov/bill/118th-congress/senate-bill/2738,"118th Congress (2023-2024)","Freedom to Breathe Act","Vance, J. D. [Sen.-R-OH] (Introduced 09/07/2023)",Republican,09/07/2023,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",09/07/2023,"Lee, Mike [Sen.-R-UT]","Barrasso, John [Sen.-R-WY]","Daines, Steve [Sen.-R-MT]","Blackburn, Marsha [Sen.-R-TN]","Braun, Mike [Sen.-R-IN]","Hawley, Josh [Sen.-R-MO]","Lummis, Cynthia M. [Sen.-R-WY]","Marshall, Roger [Sen.-R-KS]","Britt, Katie Boyd [Sen.-R-AL]","Budd, Ted [Sen.-R-NC]","Schmitt, Eric [Sen.-R-MO]","Lankford, James [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Health,"Public transit","Aviation and airports","Elementary and secondary education","Higher education","Federal preemption","Health promotion and preventive care","Health technology, devices, supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"09/15/2023 Referred to the Subcommittee on Health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Freedom to Breathe Act</strong></p><p>This bill prohibits the imposition of mask mandates on airplanes, public transit, or schools through December 31, 2024.<br/></p>",,,,,,
"S. 2736",https://www.congress.gov/bill/118th-congress/senate-bill/2736,"118th Congress (2023-2024)","Allowing for Recreational Resources for Outdoor Wellness Act","Barrasso, John [Sen.-R-WY] (Introduced 09/07/2023)",Republican,09/07/2023,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",09/07/2023,"Sullivan, Dan [Sen.-R-AK]","Wicker, Roger F. [Sen.-R-MS]","Hawley, Josh [Sen.-R-MO]","Cramer, Kevin [Sen.-R-ND]","Thune, John [Sen.-R-SD]","Collins, Susan M. [Sen.-R-ME]","Schmitt, Eric [Sen.-R-MO]","Rounds, Mike [Sen.-R-SD]","Risch, James E. [Sen.-R-ID]","Ricketts, Pete [Sen.-R-NE]","Marshall, Roger [Sen.-R-KS]","Scott, Rick [Sen.-R-FL]","Lummis, Cynthia M. [Sen.-R-WY]","Kennedy, John [Sen.-R-LA]","Hyde-Smith, Cindy [Sen.-R-MS]","Graham, Lindsey [Sen.-R-SC]","Fischer, Deb [Sen.-R-NE]","Ernst, Joni [Sen.-R-IA]","Daines, Steve [Sen.-R-MT]","Cruz, Ted [Sen.-R-TX]","Crapo, Mike [Sen.-R-ID]","Cotton, Tom [Sen.-R-AR]","Budd, Ted [Sen.-R-NC]","Braun, Mike [Sen.-R-IN]","Murkowski, Lisa [Sen.-R-AK]","Blackburn, Marsha [Sen.-R-TN]","McConnell, Mitch [Sen.-R-KY]","Vance, J. D. [Sen.-R-OH]","Britt, Katie Boyd [Sen.-R-AL]","Mullin, Markwayne [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>Allowing for Recreational Resources for Outdoor Wellness Act or the ARROW Act</b></p> <p>This bill authorizes the use of federal elementary and secondary education funds to purchase or use dangerous weapons for sports clubs, teams, training, or related activities provided for students. </p> <p>Current law prohibits the use of these funds to provide any person with a dangerous weapon or training in the use of a dangerous weapon. The bill specifies that this prohibition shall not apply to the use of these funds for sports clubs, teams, training, or related activities provided for students.</p>",,,,,,
"S. 2727",https://www.congress.gov/bill/118th-congress/senate-bill/2727,"118th Congress (2023-2024)","Advice and Consent Act","Cassidy, Bill [Sen.-R-LA] (Introduced 09/06/2023)",Republican,09/06/2023,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",09/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 2726",https://www.congress.gov/bill/118th-congress/senate-bill/2726,"118th Congress (2023-2024)","CAMPUS Act","Lankford, James [Sen.-R-OK] (Introduced 09/05/2023)",Republican,09/05/2023,"Senate - Foreign Relations","Read twice and referred to the Committee on Foreign Relations.",09/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"International Affairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Countering Adversarial and Malicious Partnerships at Universities and Schools Act of 2023 or CAMPUS Act</strong></p><p>This bill limits certain interactions with Chinese entities. Specifically, the bill</p><ul><li>requires the Office of the Director of National Intelligence to identify institutions of higher education in China providing support to the People's Liberation Army;</li><li>prohibits the Department of Defense from providing research, development, testing, and evaluation (RDT&amp;E) funds to entities that maintain contracts with such identified Chinese institutions of higher education;</li><li>prohibits the Defense Counterintelligence and Security Agency from granting eligibility to host or store classified information to those entities with an active research partnership with such identified Chinese institutions of higher education;</li><li>authorizes the Department of State to deny entry visas to students and employees of such identified Chinese institutions of higher education;</li><li>prohibits the Department of Education (ED) from providing funds for K-12 education to an elementary or secondary school that maintains a contract with entities in China;</li><li>prohibits federal&nbsp;RDT&amp;E funds from being provided to an entity that maintains a contract with such identified Chinese institutions of higher education or a Chinese entity on the Entity List maintained by the Bureau of Industry and Security in the Department of Commerce; and</li><li>lowers the minimum amount of foreign gifts or contracts benefiting an institution of higher education that must be reported to ED by the institution.</li></ul><p>The bill also authorizes ED to provide grants to K-12 schools and institutions of higher education to support Mandarin language instruction and Chinese cultural programming provided by certain Taiwanese entities.&nbsp;</p>",,,,,,
"S. 2721",https://www.congress.gov/bill/118th-congress/senate-bill/2721,"118th Congress (2023-2024)","Federal Disaster Responsibility Act","Scott, Rick [Sen.-R-FL] (Introduced 09/05/2023)",Republican,09/05/2023,"Senate - Finance","Read twice and referred to the Committee on Finance.",09/05/2023,"Rubio, Marco [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Emergency Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,H.R.662,H.R.4295,S.180,S.2029,H.R.5343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"11/01/2023 Under the order of 10/24/23, having not achieved 60 votes in the affirmative, failed of passage in Senate by Yea-Nay Vote. 43 - 53. Record Vote Number: 285.","06/22/2023 Referred to the Committee on Appropriations, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.","01/31/2023 Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.","06/15/2023 Read twice and referred to the Committee on Appropriations.","09/21/2023 Referred to the Subcommittee on General Farm Commodities, Risk Management, and Credit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 2720",https://www.congress.gov/bill/118th-congress/senate-bill/2720,"118th Congress (2023-2024)","Accountability and Clarity in Contracts to Engage Small Suppliers and Small Businesses Act","Ernst, Joni [Sen.-R-IA] (Introduced 09/05/2023)",Republican,09/05/2023,"Senate - Small Business and Entrepreneurship","Read twice and referred to the Committee on Small Business and Entrepreneurship.",09/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 2719",https://www.congress.gov/bill/118th-congress/senate-bill/2719,"118th Congress (2023-2024)","DOCTORS Act","Ernst, Joni [Sen.-R-IA] (Introduced 09/05/2023)",Republican,09/05/2023,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",09/05/2023,"Klobuchar, Amy [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"01/11/2024 Referred to the House Committee on the Judiciary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 2717",https://www.congress.gov/bill/118th-congress/senate-bill/2717,"118th Congress (2023-2024)","A bill to designate the facility of the United States Postal Service located at 231 North Franklin Street in Greensburg, Indiana, as the ""Brigadier General John T. Wilder Post Office"".","Braun, Mike [Sen.-R-IN] (Introduced 09/05/2023)",Republican,09/05/2023,"Senate - Homeland Security and Governmental Affairs","Held at the desk.",04/26/2024,"Young, Todd [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Government buildings, facilities, and property","Congressional tributes","Government Operations and Politics",Indiana,"Postal service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.2717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"04/26/2024 Held at the desk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>This bill designates the facility of the United States Postal Service located at 231 North Franklin Street in Greensburg, Indiana, as the <em>Brigadier General John T. Wilder Post Office</em>.</p>",,,,,,
"S. 2716",https://www.congress.gov/bill/118th-congress/senate-bill/2716,"118th Congress (2023-2024)","Accountability in Foreign Animal Research Act","Ernst, Joni [Sen.-R-IA] (Introduced 09/05/2023)",Republican,09/05/2023,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",09/05/2023,"Schmitt, Eric [Sen.-R-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Health,"Animal protection and human-animal relationships","Research administration and funding","North Korea","Middle East",Iran,"Hong Kong","Government information and archives",Russia,Asia,China,"Congressional oversight",Europe,"Foreign aid and international relief",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"07/28/2023 Referred to the Subcommittee on Health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Accountability in Foreign Animal Research Act</strong></p><p>This bill prohibits the Department of Health and Human Services from conducting or supporting research on vertebrate animals in a facility or through an entity that is affiliated with China, Iran, North Korea, Russia, or another foreign country of concern.</p><p>&nbsp;</p>",,,,,,
"S. 2715",https://www.congress.gov/bill/118th-congress/senate-bill/2715,"118th Congress (2023-2024)","Countering Mexican Transnational Criminal Organizations in Cyberspace Act of 2023","Rounds, Mike [Sen.-R-SD] (Introduced 07/27/2023)",Republican,07/27/2023,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",07/27/2023,"Manchin, Joe, III [Sen.-D-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Crime and Law Enforcement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.2670,S.2226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/22/2023 Became Public Law No: 118-31.","07/27/2023 Senate ordered measure printed as passed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Countering Mexican Transnational Criminal Organizations in Cyberspace Act of 2023</strong></p><p>This bill authorizes the Department of Defense to conduct cyber operations in consultation with Mexico to detect and monitor Mexican transnational criminal organizations engaged in illegal activities such as drug smuggling, human trafficking, or weapons trafficking.</p>",,,,,,
"S. 2707",https://www.congress.gov/bill/118th-congress/senate-bill/2707,"118th Congress (2023-2024)","Nationwide Consumer and Fuel Retailer Choice Act of 2023","Fischer, Deb [Sen.-R-NE] (Introduced 07/27/2023)",Republican,07/27/2023,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",07/27/2023,"Durbin, Richard J. [Sen.-D-IL]","Ricketts, Pete [Sen.-R-NE]","Grassley, Chuck [Sen.-R-IA]","Thune, John [Sen.-R-SD]","Wicker, Roger F. [Sen.-R-MS]","Hoeven, John [Sen.-R-ND]","Moran, Jerry [Sen.-R-KS]","Baldwin, Tammy [Sen.-D-WI]","Capito, Shelley Moore [Sen.-R-WV]","Ernst, Joni [Sen.-R-IA]","Rounds, Mike [Sen.-R-SD]","Duckworth, Tammy [Sen.-D-IL]","Hyde-Smith, Cindy [Sen.-R-MS]","Marshall, Roger [Sen.-R-KS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"Environmental Protection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.9885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"09/27/2024 Referred to the House Committee on Energy and Commerce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Nationwide Consumer and Fuel Retailer Choice Act of 2023</strong></p><p>This bill amends the Clean Air Act to address the limitations on Reid Vapor Pressure (a measure of gasoline's volatility) that are placed on gasoline during the summer ozone season. Specifically, the bill applies the waiver for Reid Vapor Pressure requirements that are applicable to gasoline blended with 10% ethanol (E10) to gasoline blended with up to 15% ethanol (E15). This change allows gasoline that is blended with 10% to 15% ethanol to be sold year-round.</p><p>The bill also modifies the renewable fuel program by directing the Environmental Protection Agency to return compliance credits to small refineries under certain circumstances.</p>",,,,,,
"S. 2706",https://www.congress.gov/bill/118th-congress/senate-bill/2706,"118th Congress (2023-2024)","A bill to amend the National Agricultural Research, Extension, and Teaching Policy Act of 1977 to require the Secretary of Agriculture to enter into cooperative agreements relating to drought prevention, preparedness, response, and mitigation, and for other purposes.","Fischer, Deb [Sen.-R-NE] (Introduced 07/27/2023)",Republican,07/27/2023,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",07/27/2023,"Bennet, Michael F. [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Agriculture and Food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>This bill directs the Department of Agriculture (USDA) to enter into multiyear cooperative agreements with a policy research center to conduct research and education programs that focus on drought prevention, preparedness, response, and mitigation.</p><p>An eligible policy research center includes a state agricultural experiment station, college or university, or other public research institution or organization that has a history of providing objective, scientific information to federal agencies and the public to support and enhance efficient, accurate implementation of federal drought preparedness and drought response programs.</p><p>A&nbsp;center must also conduct research and education programs that concern the effect of public policies and trade agreements on (1) the farm and agricultural sectors; (2) the environment; (3) rural families, households, and economies; and (4) consumers, food, and nutrition.</p><p>In awarding agreements, USDA must give a preference to centers that have information, analysis, and research relating to drought mitigation.&nbsp;</p>",,,,,,
