"Downloaded on",03/04/2025,"18:42:46 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22111%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 371",https://www.congress.gov/bill/111th-congress/senate-bill/371,"111th Congress (2009-2010)","A bill to amend chapter 44 of title 18, United States Code, to allow citizens who have concealed carry permits from the State in which they reside to carry concealed firearms in another State that grants concealed carry permits, if the individual complies with the laws of the State.","Thune, John [Sen.-R-SD] (Introduced 02/03/2009)",Republican,02/03/2009,"Senate - Judiciary","S.Amdt.981 Referred to the Committee on the Judiciary. ",04/21/2009,"Vitter, David [Sen.-R-LA]","Grassley, Chuck [Sen.-R-IA]","Ensign, John [Sen.-R-NV]","Burr, Richard [Sen.-R-NC]","DeMint, Jim [Sen.-R-SC]","Enzi, Michael B. [Sen.-R-WY]","Begich, Mark [Sen.-D-AK]","Hatch, Orrin G. [Sen.-R-UT]","Bennett, Robert F. [Sen.-R-UT]","Roberts, Pat [Sen.-R-KS]","Graham, Lindsey [Sen.-R-SC]","Isakson, Johnny [Sen.-R-GA]","Wicker, Roger F. [Sen.-R-MS]","Cochran, Thad [Sen.-R-MS]","Inhofe, James M. [Sen.-R-OK]","Chambliss, Saxby [Sen.-R-GA]","Coburn, Tom [Sen.-R-OK]","Brownback, Sam [Sen.-R-KS]","Martinez, Mel [Sen.-R-FL]","Crapo, Mike [Sen.-R-ID]","Risch, James E. [Sen.-R-ID]","Barrasso, John [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,"Crime and Law Enforcement","Intergovernmental relations","Firearms and explosives","Licensing and registrations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H.R.197,H.R.1620,S.845,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"02/09/2009 Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.","04/27/2009 Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.","04/21/2009 Read twice and referred to the Committee on the Judiciary.",,,,,,,,,,,,,,,,,,,,,," <p>Respecting States Rights and Concealed Carry Reciprocity Act of 2009 - Amends the federal criminal code to provide for reciprocity for the carrying of certain concealed firearms in different states by persons who are not prohibited by federal law from possessing, transporting, shipping, or receiving a firearm and who are: (1) carrying a valid state license or permit for carrying a concealed firearm; or (2) otherwise entitled to carry a concealed firearm in their state of residence. </p>",,,,,,
"S. 370",https://www.congress.gov/bill/111th-congress/senate-bill/370,"111th Congress (2009-2010)","A bill to prohibit the use of funds to transfer detainees of the United States at Naval Station, Guantanamo Bay, Cuba, to any facility in the United States or to construct any facility for such detainees in the United States, and for other purposes.","Inhofe, James M. [Sen.-R-OK] (Introduced 02/03/2009)",Republican,02/03/2009,"Senate - Armed Services","Star Print ordered on the bill.",07/29/2009,"Roberts, Pat [Sen.-R-KS]","Coburn, Tom [Sen.-R-OK]","DeMint, Jim [Sen.-R-SC]","Thune, John [Sen.-R-SD]","Johanns, Mike [Sen.-R-NE]","Barrasso, John [Sen.-R-WY]","Brownback, Sam [Sen.-R-KS]","Enzi, Michael B. [Sen.-R-WY]","Bunning, Jim [Sen.-R-KY]","Chambliss, Saxby [Sen.-R-GA]","McConnell, Mitch [Sen.-R-KY]","Bond, Christopher S. [Sen.-R-MO]","Kyl, Jon [Sen.-R-AZ]","Sessions, Jeff [Sen.-R-AL]","Crapo, Mike [Sen.-R-ID]","Cornyn, John [Sen.-R-TX]","Alexander, Lamar [Sen.-R-TN]","Vitter, David [Sen.-R-LA]","Burr, Richard [Sen.-R-NC]","Isakson, Johnny [Sen.-R-GA]","Risch, James E. [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Appropriations,"Armed Forces and National Security","Caribbean area","Correctional facilities and imprisonment",Cuba,"Executive agency funding and structure","Military facilities and property","Latin America",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.1012,H.R.4441,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"02/12/2009 Referred to the House Committee on Armed Services.","03/01/2010 Referred to the Subcommittee on Immigration, Citizenship, Refugees, Border Security, and International Law.",,,,,,,,,,,,,,,,,,,,,,," <p>Guantanamo Bay Detention Facility Safe Closure Act of 2009 - Prohibits federal funds from being used to: (1) transfer any detainee at the Naval Station Guantanamo Bay, Cuba, to any facility in the United States or its territories; (2) construct or enhance any facility in the United States in order to house any such detainee; or (3) house or otherwise incarcerate any such detainee in the United States or its territories.</p>",,,,,,
"S. 364",https://www.congress.gov/bill/111th-congress/senate-bill/364,"111th Congress (2009-2010)","A bill to provide for the review of agricultural mergers and acquisitions by the Department of Justice, and for other purposes.","Grassley, Chuck [Sen.-R-IA] (Introduced 02/03/2009)",Republican,02/03/2009,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",02/03/2009,"Kohl, Herb [Sen.-D-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Meat,"Government studies and investigations","Food industry and services","Federal Trade Commission (FTC)","Executive agency funding and structure","Evidence and witnesses","Administrative law and regulatory procedures","Department of Justice","Department of Agriculture","Criminal investigation, prosecution, interrogation","Corporate finance and management","Competition and antitrust",Commerce,"Agricultural prices, subsidies, credit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Agriculture Competition Enhancement Act of 2009 - Establishes in the Antitrust Division of the Department of Justice a Deputy Assistant Attorney General for Agricultural Antitrust Matters who shall: (1) be responsible for oversight and coordination of agriculture-related antitrust and related matters; and (2) work in coordination with the Task Force and the Department of Agriculture on all agricultural competition matters.</p><p>Establishes under the authority of the Attorney General the Agriculture Competition Task Force to examine problems in agricultural competition.</p><p>Amends the Clayton Act to revise the defendant's burden of proof in agribusiness mergers in which the plaintiff is: (1) the federal or state government; or (2) any other plaintiff.</p><p>Directs the Justice Department and the Federal Trade Commission (FTC) to: (1) draft agriculture-specific guidelines to use when reviewing agriculture mergers; and (2) conduct post merger reviews of certain agribusiness mergers five years after approval.</p><p>Establishes within the Department of Agriculture the Office of Competition and Fair Practices to be headed by a Special Counsel for Competition Matters who shall: (1) analyze mergers within the food and agricultural sectors; and (2) investigate and prosecute violations of the Packers and Stockyards Act, 1921. </p><p>Provides for agribusiness merger review and enforcement by the Department of Agriculture.</p><p>Authorizes appropriations for additional staff for the Grain Inspection, Packers, and Stockyards Administration to investigate the competitive implications of structural changes in the meat packing and poultry industries. </p>",,,,,,
"S. 363",https://www.congress.gov/bill/111th-congress/senate-bill/363,"111th Congress (2009-2010)","A bill to make determinations by the United States Trade Representative under title III of the Trade Act of 1974 reviewable by the Court of International Trade and to ensure that the United States Trade Representative considers petitions to enforce United States trade rights, and for other purposes.","Snowe, Olympia J. [Sen.-R-ME] (Introduced 02/02/2009)",Republican,02/02/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",02/02/2009,"Rockefeller, John D., IV [Sen.-D-WV]","Conrad, Kent [Sen.-D-ND]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Trade agreements and negotiations","Specialized courts","Presidents and presidential powers, Vice Presidents","Jurisdiction and venue","Government studies and investigations","Free trade and trade barriers","Civil actions and liability","Foreign Trade and International Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Trade Complaint and Litigation Accountability Improvement Measures Act or the Trade CLAIM Act - Amends the federal judicial code to grant the Court of International Trade exclusive jurisdiction of any civil action commenced by a petitioner requesting de novo review of a U.S. Trade Representative (USTR) decision concerning the enforcement of U.S. trade rights.</p> <p>Amends the Trade Act of 1974 to revise requirements concerning the enforcement of U.S. trade rights with respect to presidential authority and the responsibility of the USTR.</p> <p>Permits the USTR to take further action to enforce U.S. rights, based on the USTR's monitoring, when a petitioner considers that the actions of a foreign country in implementing a measure have not been satisfactory.</p>",,,,,,
"S. 358",https://www.congress.gov/bill/111th-congress/senate-bill/358,"111th Congress (2009-2010)","A bill to ensure the safety of members of the United States Armed Forces while using expeditionary facilities, infrastructure, and equipment supporting United States military operations overseas.","Cornyn, John [Sen.-R-TX] (Introduced 01/30/2009)",Republican,01/30/2009,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",01/30/2009,"Lieberman, Joseph I. [Sen.-ID-CT]","Pryor, Mark L. [Sen.-D-AR]","McCaskill, Claire [Sen.-D-MO]","Specter, Arlen [Sen.-R-PA]","Wyden, Ron [Sen.-D-OR]","Chambliss, Saxby [Sen.-R-GA]","Sessions, Jeff [Sen.-R-AL]","Martinez, Mel [Sen.-R-FL]","Thune, John [Sen.-R-SD]","Hutchison, Kay Bailey [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"Military procurement, research, weapons development","Public contracts and procurement","Military operations and strategy","Military facilities and property","Congressional oversight","Armed Forces and National Security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.894,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"02/04/2009 Referred to the House Committee on Armed Services.",,,,,,,,,,,,,,,,,,,,,,,," <p>Ensuring Safe Facilities and Equipment for American Troops Overseas Act - Directs the Secretary of Defense, in order to ensure the safe utilization by the Armed Forces of expeditionary facilities, infrastructure, and equipment supporting U.S. military operations overseas, to certify to the congressional defense committees that: (1) generally accepted industry safety standards are incorporated into military regulations establishing requirements for such facilities, infrastructure, and equipment; (2) each contract or task or delivery order for the construction, installation, repair, maintenance, or operation of overseas expeditionary facilities incorporates such industry standards; and (3) such standards apply in all current and future U.S. military operations overseas.</p>",,,,,,
"S. 351",https://www.congress.gov/bill/111th-congress/senate-bill/351,"111th Congress (2009-2010)","A bill to require United States Government representatives to present to the Government of Iraq a plan to establish an oil trust.","Ensign, John [Sen.-R-NV] (Introduced 01/29/2009)",Republican,01/29/2009,"Senate - Foreign Relations","Read twice and referred to the Committee on Foreign Relations.",01/29/2009,"Bayh, Evan [Sen.-D-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Middle East","International Affairs",Iraq,"Foreign aid and international relief","Congressional oversight","Oil and gas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Support for Iraq Oil Trust Act of 2009 - Withholds specified percentages of Economic Support Fund assistance for Iraq unless the Secretary of State certifies within specified time periods to the appropriate congressional committees that U.S. government representatives have presented an oil trust plan to Iraqi government representatives. </p>",,,,,,
"S. 347",https://www.congress.gov/bill/111th-congress/senate-bill/347,"111th Congress (2009-2010)","A bill to amend title 38, United States Code, to allow the Secretary of Veterans Affairs to distinguish between the severity of a qualifying loss of a dominant hand and a qualifying loss of a non-dominant hand for purposes of traumatic injury protection under Servicemembers' Group Life Insurance, and for other purposes.","Ensign, John [Sen.-R-NV] (Introduced 01/29/2009)",Republican,01/29/2009,"Senate - Veterans' Affairs","Committee on Veterans' Affairs. Hearings held. Hearings printed: S.Hrg. 111-81.",04/29/2009,"Rockefeller, John D., IV [Sen.-D-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Life, casualty, property insurance","Veterans' pensions and compensation","Disability and paralysis","Armed Forces and National Security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Allows the schedule of payments under Servicemembers' Group Life Insurance (SGLI) for a traumatic injury to distinguish between the severity of a loss of a dominant hand and a non-dominant hand.</p>",,,,,,
"S. 346",https://www.congress.gov/bill/111th-congress/senate-bill/346,"111th Congress (2009-2010)","A bill to implement equal protection under the 14th article of amendment to the Constitution for the right to life of each born and preborn human person.","Wicker, Roger F. [Sen.-R-MS] (Introduced 01/29/2009)",Republican,01/29/2009,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",01/29/2009,"Inhofe, James M. [Sen.-R-OK]","Brownback, Sam [Sen.-R-KS]","Enzi, Michael B. [Sen.-R-WY]","Voinovich, George V. [Sen.-R-OH]","Vitter, David [Sen.-R-LA]","Coburn, Tom [Sen.-R-OK]","DeMint, Jim [Sen.-R-SC]","Thune, John [Sen.-R-SD]","Martinez, Mel [Sen.-R-FL]","Burr, Richard [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"Constitution and constitutional amendments","Civil Rights and Liberties, Minority Issues",Abortion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.881,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"07/23/2009 Referred to the Subcommittee on the Constitution, Civil Rights, and Civil Liberties.",,,,,,,,,,,,,,,,,,,,,,,," <p>Life at Conception Act - Declares that the right to life guaranteed by the Constitution is vested in each human being beginning at the moment of fertilization, cloning, and other moment at which an individual comes into being.</p>",,,,,,
"S. 345",https://www.congress.gov/bill/111th-congress/senate-bill/345,"111th Congress (2009-2010)","Tropical Forest and Coral Conservation Reauthorization Act of 2009","Lugar, Richard G. [Sen.-R-IN] (Introduced 01/29/2009)",Republican,01/29/2009,"Senate - Foreign Relations","Placed on Senate Legislative Calendar under General Orders. Calendar No. 111.",07/16/2009,"Leahy, Patrick J. [Sen.-D-VT]","Kerry, John F. [Sen.-D-MA]","Brownback, Sam [Sen.-R-KS]","Kaufman, Edward E. [Sen.-D-DE]","Lieberman, Joseph I. [Sen.-ID-CT]","Murray, Patty [Sen.-D-WA]","Nelson, Bill [Sen.-D-FL]","Shaheen, Jeanne [Sen.-D-NH]","Whitehouse, Sheldon [Sen.-D-RI]","Durbin, Richard J. [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"International organizations and cooperation","Wildlife conservation and habitat protection","Marine and coastal resources, fisheries","Land use and conservation","Land transfers","International law and treaties","International Affairs","Forests, forestry, trees","Foreign loans and debt","Aquatic ecology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.52,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"01/06/2009 Referred to the House Committee on Foreign Affairs.",,,,,,,,,,,,,,,,,,,,,,,," <p><b>(This measure has not been amended since it was introduced. The summary has been expanded because action occurred on the measure.)</b></p> <p>Tropical Forest and Coral Conservation Reauthorization Act of 2009 - (Sec. 2) Renames the Tropical Forest Conservation Act of 1998 as The Tropical Forest and Coral Conservation Act of 2009.</p> <p>(3) Includes tropical forests and coral reefs and associated coastal marine ecosystems within the scope of such Act.</p> <p>Defines &quot;coral&quot; as species of the phylum Cnidaria, including: (1) all species of the orders Antipatharia (black corals), Scleractinia (stony corals), Alcyonacea (soft corals), Gorgonacea (horny corals), Stolonifera (organpipe corals and others), and Coenothecalia (blue coral), of the class Anthoza; and (2) all species of the order Hydrocorallina (fire corals and hydrocorals) of the class Hydrozoa.</p> <p>Defines &quot;associated coastal marine ecosystem&quot; as any coastal marine ecosystem surrounding, or directly related to, a coral reef and important to maintaining the ecological integrity of that coral reef, such as seagrasses, mangroves, sandy seabed communities, and immediately adjacent coastal areas.<br> </p> <p>(Sec. 4) Renames the Tropical Forest Facility as the Conservation Facility.</p> <p>(Sec. 6) Authorizes U.S. government representation on the administering body that oversees the implementation of grants from a debt-for-nature swap or debt buy-back regardless of whether the United States is a party to any agreement between the eligible purchaser and the government of the beneficiary country.</p> <p>(Sec. 7) Requires U.S. government and beneficiary country government review of Conservation Fund grants in excess of $250,000.</p> <p>(Sec. 9) Repeals Enterprise of the Americas Board authority to carry out activities under the Act.</p> <p>(Sec. 10) Changes the due date for the annual Facility report to Congress from December 31 to April 15.</p> <p>(Sec. 11) Revises country eligibility criteria.</p> <p>(Sec. 12) Authorizes FY2009-FY2012 appropriations for debt reduction.</p> <p>Increases annual funds available for program audits and evaluation, and makes such funds available for program monitoring and administration.</p> </p>",,,,,,
"S. 344",https://www.congress.gov/bill/111th-congress/senate-bill/344,"111th Congress (2009-2010)","A bill to require hedge funds to register with the Securities and Exchange Commission, and for other purposes.","Grassley, Chuck [Sen.-R-IA] (Introduced 01/29/2009)",Republican,01/29/2009,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",01/29/2009,"Levin, Carl [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Securities and Exchange Commission (SEC)",Securities,"Administrative law and regulatory procedures",Currency,"Foreign and international corporations","Finance and Financial Sector","Financial services and investments",Terrorism,"Department of the Treasury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Hedge Fund Transparency Act - Amends the Investment Company Act of 1940, Securities Act of 1933, the Securities Exchange Act of 1934, and the Internal Revenue Code to convert exceptions to the definition of an investment company into exemptions from mandatory registration as one.</p> <p>Exempts an investment company with assets, or assets under management, of at least $50 million from ordinary registration and filing requirements only if that company: (1) registers with the Securities and Exchange Commission (SEC); (2) files with the SEC a specified annual electronic information form, made available to the public, concerning ownership structure, investors, primary accountant and broker, and current assets value; (3) maintains such books and records as the SEC may require; and (4) cooperates with any request for information or examination by the SEC.</p> <p>Requires any investment company meeting such exemption requirements to establish an anti-money laundering program, according to rules prescribed by the Secretary of the Treasury, and report suspicious transactions.</p> <p>Requires such rules to require exempted investment companies to use risk-based due diligence policies, procedures, and controls reasonably designed to ascertain the identity of, and evaluate, any foreign person that supplies funds, or plans to supply funds, to be invested with the investment company's advice or assistance.</p> <p> Requires such rules also to require exempted investment companies to comply with the same requirements as other financial institutions for producing records requested by a federal regulator, particularly within 120 hours of receiving such a request.</p>",,,,,,
"S. 342",https://www.congress.gov/bill/111th-congress/senate-bill/342,"111th Congress (2009-2010)","A bill to provide for the treatment of service as a member of the Alaska Territorial Guard during World War II as active service for purposes of retired pay for members of the Armed Forces.","Murkowski, Lisa [Sen.-R-AK] (Introduced 01/28/2009)",Republican,01/28/2009,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services. (text of measure as introduced: CR S997)",01/28/2009,"Inouye, Daniel K. [Sen.-D-HI]","Begich, Mark [Sen.-D-AK]","Akaka, Daniel K. [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Alaska,"Armed Forces and National Security","Military history","National Guard and reserves","Veterans' pensions and compensation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.744,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"02/17/2009 Referred to the Subcommittee on Military Personnel.",,,,,,,,,,,,,,,,,,,,,,,," <p>Treats the service as a member of the Alaska Territorial Guard during World War II of any individual who was honorably discharged therefrom as active service for purposes of eligibility for, and the computation of, retired pay for members of the Armed Forces.</p> <p>Makes such provision applicable for retired pay for months beginning on or after August 9, 2000.</p>",,,,,,
"S. 340",https://www.congress.gov/bill/111th-congress/senate-bill/340,"111th Congress (2009-2010)","A bill to enhance the oversight authority of the Comptroller General of the United States with respect to expenditures under the Troubled Asset Relief Program.","Grassley, Chuck [Sen.-R-IA] (Introduced 01/28/2009)",Republican,01/28/2009,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",01/28/2009,"Baucus, Max [Sen.-D-MT]","Snowe, Olympia J. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Government information and archives","Financial crises and stabilization","Public contracts and procurement","Congressional oversight","Finance and Financial Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1650,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"03/19/2009 Referred to the House Committee on Financial Services.",,,,,,,,,,,,,,,,,,,,,,,," <p>Troubled Asset Relief Program Enhancement Act - Amends the Emergency Economic Stabilization Act of 2008 (EESA) to require the Comptroller General to oversee the performance of the Troubled Asset Relief Program (TARP) in meeting EESA purposes involving public accountability for the exercise of its authority.</p> <p>Grants the Comptroller General access, upon request, to any information, data, schedules, books, accounts, financial records, reports, files, electronic communications, or other papers, things, or property belonging to or in use by the TARP, any entity established by the Secretary under EESA, or any entity participating in a program established under EESA, and to any of their officers, employees, directors, independent public accountants, financial advisors and any and all other agents and representatives.</p> <p>Requires the Comptroller General to be afforded full facilities for verifying transactions with the balances or securities held by depositories, fiscal agents, and custodians.</p> <p>Prohibits the Comptroller General from disclosing publicly any proprietary or trade secret information obtained under this Act.</p>",,,,,,
"S. 334",https://www.congress.gov/bill/111th-congress/senate-bill/334,"111th Congress (2009-2010)","A bill to authorize the extension of nondiscriminatory treatment (normal trade relations treatment) to the products of Moldova.","Lugar, Richard G. [Sen.-R-IN] (Introduced 01/27/2009)",Republican,01/27/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",01/27/2009,"Kerry, John F. [Sen.-D-MA]","McCain, John [Sen.-R-AZ]","Cardin, Benjamin L. [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Moldova,"Foreign Trade and International Finance",Europe,"Normal trade relations, most-favored-nation treatment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Authorizes the President to extend nondiscriminatory treatment (normal trade relations treatment) to the products of Moldova.</p>",,,,,,
