"Downloaded on",03/05/2025,"13:27:53 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2297%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 636",https://www.congress.gov/bill/97th-congress/senate-bill/636,"97th Congress (1981-1982)","A bill to clarify the Veterans' Administration's authority to recover certain health-care costs, to extend the period of availability of funds committed under the Veterans' Administration program of assistance to new State medical schools, to authorize expansion of the scope of and epidemiological study regarding veterans exposed to Agent Orange, and for other purposes.","Cranston, Alan [Sen.-D-CA] (Introduced 03/05/1981)",Democratic,03/05/1981,"Senate - Veterans' Affairs","Committee on Veterans requested executive comment from Federal Emergency Management Agency.",09/01/1981,"Randolph, Jennings [Sen.-D-WV]","Stafford, Robert T. [Sen.-R-VT]","Burdick, Quentin N. [Sen.-D-ND]","Thurmond, Strom [Sen.-R-SC]","Byrd, Robert C. [Sen.-D-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Agent Orange","Armed Forces and National Security",Claims,Education,"Federal aid to medical education","Government liability","Health facilities","Medical education","Medical research","Veterans' benefits","Veterans' disability compensation","Veterans' medical care",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Veterans' Administration Health Care Amendments of 1981 - Entitles the United States to recover the costs of certain medical care and services furnished to a veteran for a non-service-connected disability when such disability is covered by another form of insurance or compensation. Sets forth the formula and procedure for the United States' recovery against the insurer or other entity.  Subrogates the United States to the rights of such veteran. <p>Extends for one year the period during which funds appropriated for the establishment of a new State medical school may be expended. <p>Amends the Veterans Health Programs Extension and Improvement Act of 1979 to permit the expansion of the scope of the epidemiological study of the health effects of Agent Orange to include an evaluation of the long term adverse health effects in humans serving in the armed forces of the United States in Vietnam during the Vietnamese conflict or other factors involved in such service, including exposure to other herbicides, chemicals, medications, or environmental hazards or conditions. Permits the Administrator of Veterans' Affairs to expand the scope of the literature analysis and review to include an analysis and review of the literature covering other studies relating to the effects of such factors. <p>Directs the Administrator to prescribe regulations establishing guidelines, standards, and criteria for resolving claims for benefits based on exposure to Agent Orange and such other factors during such conflict.",,,,,,
"S. 633",https://www.congress.gov/bill/97th-congress/senate-bill/633,"97th Congress (1981-1982)","A bill for the relief of Estefania Tolentino.","Melcher, John [Sen.-D-MT] (Introduced 03/05/1981)",Democratic,03/05/1981,"Senate - Judiciary","Read second time and referred to Senate Committee on Judiciary.",03/05/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 632",https://www.congress.gov/bill/97th-congress/senate-bill/632,"97th Congress (1981-1982)","A bill for the relief of Herbert J. Thomas Memorial Hospital.","Randolph, Jennings [Sen.-D-WV] (Introduced 03/05/1981)",Democratic,03/05/1981,"Senate - Judiciary","Read second time and referred to Senate Committee on Judiciary.",03/05/1981,"Byrd, Robert C. [Sen.-D-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Claims,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Directs the Secretary of the Treasury to pay a specified sum to a named hospital in full satisfaction of a claim against the United States to reimburse such hospital for settlements made in civil suits brought against the hospital as a result of such hospital carrying out a program of the Department of Health and Human Services.",,,,,,
"S. 631",https://www.congress.gov/bill/97th-congress/senate-bill/631,"97th Congress (1981-1982)","A bill to dismiss certain cases pending before the Education Appeal Board.","DeConcini, Dennis [Sen.-D-AZ] (Introduced 03/05/1981)",Democratic,03/05/1981,"Senate - Labor and Human Resources","Referred to Subcommittee on Education.",03/17/1981,"Heinz, John [Sen.-R-PA]","Matsunaga, Spark M. [Sen.-D-HI]","Ford, Wendell H. [Sen.-D-KY]","Inouye, Daniel K. [Sen.-D-HI]","Huddleston, Walter (Dee) [Sen.-D-KY]","Andrews, Mark [Sen.-R-ND]","Thurmond, Strom [Sen.-R-SC]","Hollings, Ernest F. [Sen.-D-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Auditing,"Department of Education","Economics and Public Finance",Education,"Educational finance","Elementary and secondary education","Elementary education","Federal aid to education","Government Operations and Politics","Intergovernmental fiscal relations","Local and Municipal Government","Local finance","Secondary education","State education agencies","State finance",States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Directs the Education Appeal Board to dismiss all actions which are based on audits conducted prior to the enactment of the Education Amendments of 1978, and which seek the repayment of funds provided to State or local agencies under the Financial Assistance to Meet the Special Educational Needs of Children (title I) provisions of the Elementary and Secondary Education Act of 1965.",,,,,,
"S. 630",https://www.congress.gov/bill/97th-congress/senate-bill/630,"97th Congress (1981-1982)","A bill to revise loan guarantee provisions of the Airline Deregulation Act of 1978, and for other purposes.","Sasser, Jim [Sen.-D-TN] (Introduced 03/05/1981)",Democratic,03/05/1981,"Senate - Commerce, Science, and Transportation","Read second time and referred to Senate Committee on Commerce.",03/05/1981,"Baucus, Max [Sen.-D-MT]","Byrd, Robert C. [Sen.-D-WV]","Randolph, Jennings [Sen.-D-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Aircraft,"Airline law and legislation",Airlines,Aviation,"Civil Aeronautics Board","Department of Transportation","Executive reorganization","Federally-guaranteed loans","Government Operations and Politics","Independent regulatory commissions","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Airline Deregulation Act Amendments of 1981 - Repeals specified provisions of the Federal Aviation Act of 1958 that repealed rate-setting, division of rates, and through service provisions of such Act. <p>Transfers authority over such provisions from the Civil Aeronautics Board to the Secretary of Transportation as of January 1, 1983. <p>Transfers to the Secretary, as of December 31, 1981, authority over terminations, reductions, and suspensions of air carrier service. <p>Directs the Secretary to give priority to applicants who apply for aircraft loan guarantees for the purchase of limited seating airplanes. <p>Terminates the authority of the Secretary with regard to aircraft loans and loan guarantees 12 years after the date of enactment of this Act. <p>Increases to 180 days the notice required before an air carrier may terminate, suspend, or reduce specified air transportation.",,,,,,
"S. 626",https://www.congress.gov/bill/97th-congress/senate-bill/626,"97th Congress (1981-1982)","A bill to amend the Internal Revenue Code with respect to offsetting positions in personal property, and for other purposes.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 03/05/1981)",Democratic,03/05/1981,"Senate - Finance","Subcommittee on Taxation and Debt Management. Hearings held.",06/12/1981,"Baucus, Max [Sen.-D-MT]","Sarbanes, Paul S. [Sen.-D-MD]","Metzenbaum, Howard M. [Sen.-D-OH]","Mitchell, George J. [Sen.-D-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Capital gains tax","Commodity exchanges","Corporations and Stocks","Government securities","Income tax",Interest,"Local and Municipal Government","Local finance","Personal income tax",Securities,"Securities and Investments","State finance",States,Stocks,"Tax deductions","Tax deferral","Tax shelters",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Commodity Straddles Tax Act of 1981 - Amends the Internal Revenue Code to provide that any loss which exceeds gain from the holding of a position held as part of an offsetting position may not be recognized, for income tax deduction purposes, for the period during which a taxpayer holds such a position, plus 30 days. <p>Defines ""offsetting position"" to mean that there is a substantial reduction of the taxpayer's risk of loss from holding any position with respect to personal property (commodities, evidences of indebtedness, and other types of personal property) because the taxpayer also holds one or more other positions with respect to personal property (commonly referred to as a ""straddle""). Treats as offsetting, with specified exceptions, two or more positions which include equivalent long and short positions if:  (1) such positions are in the same commodity; (2) the aggregate margin requirement for the positions is less than the sum of the margin requirements for each position; (3) the positions are in debt instruments; or (4) the positions are determined under regulations prescribed by the Secretary of the Treasury to be offsetting positions. Defines ""long position"" and ""short position"" as positions which increase in value or decrease in value respectively, the personal property to which they relate increases in value. <p>Disallows as a deduction, and makes chargeable to capital account, interest and carrying charges with respect to personal property which is part of an offsetting position. <p>Provides that obligations of the United States, a State or local government, or a U.S. possession issued on a discount basis and payable without interest in less than one year shall be treated as capital assets in determining tax consequences of gain or loss with respect to such obligations. <p>Excludes from capital gains tax treatment gain by a securities dealer from the sale or exchange of any security unless the security was clearly identified in the dealer's records, before the end of the day after the date of acquisition, as a security held for investment (currently, before the end of the 30th day after the date of acquisition).",,,,,,
"S. 624",https://www.congress.gov/bill/97th-congress/senate-bill/624,"97th Congress (1981-1982)","A bill to amend the Internal Revenue Code of 1954 to require the Secretary of the Treasury to issue a certificate of release of a lien in certain cases, and for other purposes.","Levin, Carl [Sen.-D-MI] (Introduced 03/05/1981)",Democratic,03/05/1981,"Senate - Finance","Committee on Finance requested executive comment from OMB; Treasury Department.",03/10/1981,"Cohen, William S. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Income tax","Liability (Law)",Liens,"Tax administration",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends the Internal Revenue Code to require the Secretary of the Treasury to issue a certificate of release of a lien imposed with respect to any tax where:  (1) the liability has been fully satisfied or has become legally unenforceable; or (2) an appropriate bond conditioned on the payment of the amount assessed is furnished.  (Current law allows issuance of such a certificate.) <p>Requires notice to the taxpayer in cases of levy upon property held by a person other than the taxpayer.",,,,,,
"S. 623",https://www.congress.gov/bill/97th-congress/senate-bill/623,"97th Congress (1981-1982)","A bill to amend chapter 7 of title 5, United States Code, relating to judicial review of agency action to allow appeals from interlocutory orders on the assignment or conduct of an administrative law judge, and for other purposes.","Levin, Carl [Sen.-D-MI] (Introduced 03/05/1981)",Democratic,03/05/1981,"Senate - Judiciary","Referred to Subcommittee on Agency Administration.",03/23/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative law judges","Administrative procedure","Courts and Civil Procedure","Government Operations and Politics","Judicial review","Judicial review of administrative acts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Entitles any person who is adversely affected in an agency action by an interlocutory order concerning the assignment or the legal qualifications of an administrative law judge to judicial review of that order.",,,,,,
"S. 622",https://www.congress.gov/bill/97th-congress/senate-bill/622,"97th Congress (1981-1982)","A bill to control the export of hazardous wastes.","Inouye, Daniel K. [Sen.-D-HI] (Introduced 03/05/1981)",Democratic,03/05/1981,"Senate - Banking, Housing, and Urban Affairs","Committee on Banking received executive comment from State Department. Unfavorable.",07/30/1981,"Baucus, Max [Sen.-D-MT]","Melcher, John [Sen.-D-MT]","Matsunaga, Spark M. [Sen.-D-HI]","Glenn, John H., Jr. [Sen.-D-OH]","Stafford, Robert T. [Sen.-R-VT]","Cranston, Alan [Sen.-D-CA]","Burdick, Quentin N. [Sen.-D-ND]","Kennedy, Edward M. [Sen.-D-MA]","Randolph, Jennings [Sen.-D-WV]","Hatfield, Mark O. [Sen.-R-OR]","Leahy, Patrick J. [Sen.-D-VT]","Dodd, Christopher J. [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"Environmental Protection","Export controls",Exports,"Foreign Trade and Investments","Hazardous wastes",Licenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Export of Hazardous Wastes Control Act of 1981 - Amends the Export Administration Act of 1979 to permit the export of hazardous wastes from the United States only pursuant to a validated export license.  Authorizes the Secretary of Commerce to issue a license only:  (1) after consultation with specified Federal officials; and (2) if the Secretary is satisfied that the importing country's government has been fully informed about, and agrees to, the shipment.  Makes such conditions applicable to all exports of hazardous wastes.  Directs the Secretary to list annually for Congress:  (1) hazardous wastes for which validated export licenses are required; (2) the number and type of applications received for the export of such wastes; and (3) hazardous wastes for which export licenses were granted.",,,,,,
"S. 619",https://www.congress.gov/bill/97th-congress/senate-bill/619,"97th Congress (1981-1982)","A bill for the relief of Alberto A. Fernandez, M.D.","Byrd, Robert C. [Sen.-D-WV] (Introduced 03/05/1981)",Democratic,03/05/1981,"Senate - Judiciary","Committee on Judiciary. Agreed to indefinitely postpone.",09/28/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 618",https://www.congress.gov/bill/97th-congress/senate-bill/618,"97th Congress (1981-1982)","A bill for the relief of Anacleto Aboyabor Dotollo and Turtosa Accompanado Dotollo.","Cannon, Howard W. [Sen.-D-NV] (Introduced 03/05/1981)",Democratic,03/05/1981,"Senate - Judiciary","Referred to Subcommittee on Immigration and Refugee Policy.",03/05/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Declares two named individuals to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 617",https://www.congress.gov/bill/97th-congress/senate-bill/617,"97th Congress (1981-1982)","A bill for the relief of Mrs. Elsie B. Lawson.","Stennis, John C. [Sen.-D-MS] (Introduced 03/05/1981)",Democratic,03/05/1981,"House - Judiciary | Senate - Judiciary","Referred to House Committee on The Judiciary.",11/29/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 616",https://www.congress.gov/bill/97th-congress/senate-bill/616,"97th Congress (1981-1982)","A bill to provide for the installation of telecommunications devices for the deaf in agencies of Federal, State, and local governments, in offices of Members of Congress, and in other locations, to amend the Internal Revenue Code of 1954 to provide tax incentives for the purchase of telecommunication devices by the deaf, and for other purposes.","Leahy, Patrick J. [Sen.-D-VT] (Introduced 03/03/1981)",Democratic,03/03/1981,"Senate - Governmental Affairs","Committee on Governmental Affairs received executive comment from Federal Communications Commission.",05/21/1981,"Lugar, Richard G. [Sen.-R-IN]","Randolph, Jennings [Sen.-D-WV]","Weicker, Lowell P., Jr. [Sen.-R-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Blind,"Capitol (Washington, D.C.)","Communications and Broadcasting","Congressional office buildings",Deaf,Disabled,"Federal aid to handicapped services","Federal office buildings","Government Operations and Politics",Grants-in-aid,"Income tax","Intergovernmental fiscal relations","Intergovernmental relations","Local and Municipal Government","Local finance","Speech disorders",States,"Tax credits","Tax deductions","Telecommunication policy",Telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Equal Access to Communications Act of 1981 - <b>Title I:  Access to Government</b> - Directs the Secretary of Health and Human Services, after consultation with specified organizations with special knowledge of the problems of deaf persons, to select at least five Federal agencies with which deaf persons have the greatest need for communication and have installed in each such agency and its regional offices a device which permits two-way communication of textual messages in alphanumeric form by telephone lines.  Directs the Secretary to select an additional 100 locations for installation of such devices which shall be available to deaf people for their use in communicating with the agencies selected under this Act and with Members of Congress who choose to install such a device. <p>Directs the Secretary to disseminate information about the availability of such devices as widely as possible to local organizations of the deaf. <p>Directs that at least one employee be available during normal working hours at each location where such devices are located to assist deaf persons in the use of such devices. <p>Authorizes appropriations for the above activities. <p>Authorizes the Secretary to make a grant to any State or local government for installing telecommunications devices for the deaf in government agencies and other locations in a program to be identical to the Federal program established by this Act.  Sets the level of such grants at 75 percent of the cost of installing and operating such devices. Authorizes annual continuing grants for such purposes. <p>Requires the Secretary to seek the cooperation of the Administrator of General Services in having transferred to States any telecommunications devices for the deaf categorized as Federal surplus property. <p>Authorizes appropriations for such grant and transferral programs. <p>Requires that any Member of Congress making a written request for a telecommunications device for the deaf be provided with one.  Directs the Architect of the Capitol to install such a device at the central switchboard in the United States Capitol. Requires at least one employee trained in the use of such device for the deaf to be available during normal working hours to provide assistance to deaf persons.  Authorizes appropriations. <p>Requires the Secretary to report to Congress within two years after the installation of the first device under this Act describing the effectiveness of the programs established by this Act and making recommendations on the continuation and expansion of such programs. <p><b>Title II:  Amendments to the Internal Revenue Code of 1954</b> - Amends the Internal Revenue Code to allow a refundable income tax credit for an amount not to exceed $200 equal to 75 percent of the expenses paid by deaf or speech-impaired individuals for the use of toll telephone service by means of teletypewriters. <p>Allows an income tax deduction for 50 percent of the expenses incurred by blind, deaf, or speech impaired individuals in purchasing or installing a teletypewriter.  Limits the amount of such deduction to $200 for each teletypewriter.",,,,,,
"S. 615",https://www.congress.gov/bill/97th-congress/senate-bill/615,"97th Congress (1981-1982)","A bill to amend the Internal Revenue Code of 1954 to provide a credit for television subtitle equipment used by hearing-impaired individuals.","Leahy, Patrick J. [Sen.-D-VT] (Introduced 03/03/1981)",Democratic,03/03/1981,"Senate - Finance","Committee on Finance requested executive comment from OMB; Treasury Department.",03/05/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Communications and Broadcasting",Deaf,Disabled,"Income tax","Tax credits",Taxation,"Television broadcasting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends the Internal Revenue Code to provide a refundable income tax credit equal to fifty percent of the cost of television subtitle equipment used by the hearing-impaired. Provides that the credit shall not exceed $250 and is unavailable to taxpayers whose adjusted gross income exceeds $15,000.",,,,,,
"S. 610",https://www.congress.gov/bill/97th-congress/senate-bill/610,"97th Congress (1981-1982)","A bill to Amend the Securities Exchange Act of 1934 to establish a Council on State and Local Government Accounting and Financial Reporting Standards, and to establish an Institute for State and Local Government Accounting and Financial Reporting Standards, in order to ensure the availability of nationally recognized accounting and financial reporting standards for State and local governments.","Williams, Harrison A., Jr. [Sen.-D-NJ] (Introduced 03/03/1981)",Democratic,03/03/1981,"Senate - Banking, Housing, and Urban Affairs","Committee on Banking received executive comment from Treasury Department. Unfavorable.",10/27/1982,"Proxmire, William [Sen.-D-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Accounting,"Advisory bodies","Economics and Public Finance","Federal advisory bodies","Intergovernmental fiscal relations","Local and Municipal Government","Local finance","State finance",States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>State and Local Government Accounting and Financial Reporting Standards Act of l981 - Amends the Securities and Exchange Act of 1934 to authorize the establishment of an Institute for State and Local Government Accounting and Financial Reporting Standards as a nonprofit, nongovernmental instrumentality. Requires that the Institute consist of 11 members representing Federal, State, and local governments, the public accounting and financial analyst professions, and the public. <p>Declares that the function of the Institute shall be to promulgate accounting and financial reporting standards applicable to State and local governments. <p>Establishes a State and Local Government Accounting and Financial Reporting Standards Council composed of the Secretary of the Treasury, the Comptroller General, and the Chairman of the Securities and Exchange Commission to review the bylaws of the Institute and appoint its members. <p>Requires the Institute and Council to submit annual reports to the Congress.  Authorizes appropriations to implement the provisions of this Act.",,,,,,
"S. 609",https://www.congress.gov/bill/97th-congress/senate-bill/609,"97th Congress (1981-1982)","A bill entitled ""The Naturalization Processing Compensation Act of 1981"".","Williams, Harrison A., Jr. [Sen.-D-NJ] (Introduced 03/03/1981)",Democratic,03/03/1981,"Senate - Judiciary","Read second time and referred to Senate Committee on Judiciary.",03/03/1981,"Moynihan, Daniel Patrick [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Courts and Civil Procedure",Immigration,"Lawyers and legal services","Legal fees",Naturalization,"State courts",States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Naturalization Processing Compensation Act of 1981 - Amends the Immigration and Nationality Act to allow State courts to retain one half of all naturalization petition fees (presently limited to $3,000 annually).",,,,,,
"S. 608",https://www.congress.gov/bill/97th-congress/senate-bill/608,"97th Congress (1981-1982)","A bill to amend the Internal Revenue Code of 1954 to allow individuals a deduction for certain expenses paid or incurred in connection with the adoption of a child.","Baucus, Max [Sen.-D-MT] (Introduced 03/03/1981)",Democratic,03/03/1981,"Senate - Finance","Subcommittee on Taxation and Debt Management. Hearings held.",10/16/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Adoption,"Children and youth","Income tax","Tax deductions",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1596,,,,,CRS,Senate,,"08/04/1981 See H.R.4242.",,,,"<p>Amends the Internal Revenue Code to allow individual taxpayers an income tax deduction from gross income for adoption expenses.  Includes within the category of ""adoption expenses"" adoption agency fees, court costs, attorney fees, and other expenses directly related to the legal adoption of a child.",,,,,,
