"Downloaded on",03/05/2025,"13:57:07 EST"
"Search URL",https://www.congress.gov/advanced-search?raw=%5B%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22congress%22%2C%22operator%22%3A%22multi%22%2C%22value%22%3A%5B%22118%22%2C%22117%22%2C%22116%22%2C%22112%22%2C%22111%22%5D%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22chamber%22%2C%22operator%22%3A%22is%22%2C%22value%22%3A%22Senate%22%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22committee%22%2C%22operator%22%3A%22containsAll%22%2C%22value%22%3A%22Finance%22%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22sponsor-party%22%2C%22operator%22%3A%22is%22%2C%22value%22%3A%22Democratic%22%7D%7D%5D%7D%5D&q=%7B%22type%22%3A%22bills%22%2C%22congress%22%3A%22112%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 1330",https://www.congress.gov/bill/112th-congress/senate-bill/1330,"112th Congress (2011-2012)","A bill to amend the Internal Revenue Code of 1986 to provide a temporary payroll increase tax credit for certain employers.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 07/06/2011)",Democratic,07/06/2011,"Senate - Finance","Read twice and referred to the Committee on Finance.",07/06/2011,"Gillibrand, Kirsten E. [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Congressional oversight","Employment taxes","Fraud offenses and financial crimes","Income tax credits","Small business","Social security and elderly assistance","Tax administration and collection, taxpayers",Taxation,"Wages and earnings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.3660,,,,,,,,,,,,CRS,,"12/05/2012 Read twice and referred to the Committee on Finance.",,,,,,,,,,,," <p>Small Business Job Creation Tax Act of 2011- Amends the Internal Revenue Code to allow employers a credit against payroll tax liability for a payroll increase in a quarter over a corresponding quarter in the previous calendar year. Sets the amount of such credit at 20% of such increase for employers that employ fewer than 100 employees and 15% for employers that employ 100 or more employees in any quarter. Limits the total credit amount available for all quarters to $250,000.</p> <p>Directs the Commissioner of Internal Revenue to: (1) notify all employers required to withhold employment taxes of the enactment and applicability of this Act; and (2) report to Congress on enforcement measures taken to prevent and penalize fraud related to the payroll credit allowed by this Act. </p>",,,,,,
"S. 1318",https://www.congress.gov/bill/112th-congress/senate-bill/1318,"112th Congress (2011-2012)","A bill to enhance pre- and post-adoptive support services.","Klobuchar, Amy [Sen.-D-MN] (Introduced 06/30/2011)",Democratic,06/30/2011,"Senate - Finance","Read twice and referred to the Committee on Finance.",06/30/2011,"Johnson, Tim [Sen.-D-SD]","Landrieu, Mary L. [Sen.-D-LA]","Blunt, Roy [Sen.-R-MO]","Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Administrative law and regulatory procedures","Adoption and foster care","Advisory bodies","Child health","Department of Health and Human Services",Families,"Government information and archives","Health programs administration and funding","Mental health","Poverty and welfare assistance","Social work, volunteer service, charitable organizations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Supporting Adoptive Families Act - Amends part B (Child and Family Services) of title IV of the Social Security Act to make it a purpose of the Stephanie Tubbs Jones Child Welfare Services Program to promote efforts to prevent children from entering the foster care system through the provision of pre- and post-adoptive support services.</p> <p>Extends adoption promotion and support services to those designed to support adoptions from other countries as well as domestic adoptions. Specifies related pre- and post-adoptive support services. </p> <p>Amends SSA title IV part E (Foster Care and Adoption Assistance) to revise requirements for state expenditures for adoption support services.</p> <p>Amends the Public Health Service Act to direct the Secretary of Health and Human Services (HHS), acting through the Administrator of the Substance Abuse and Mental Health Services Administration, to award grants or cooperative agreements to eligible entities to develop and implement state-sponsored statewide or tribal post-adoption mental health service programs for all adopted children. </p> <p>Amends SSA title IV part D (Child Support and Establishment of Paternity) to direct the Secretary, as part of the child support and paternity data collection system, to promulgate final regulations requiring the states to collect and report information regarding children adopted within the United States or from other countries who enter into state custody as a result of the disruption of a placement for adoption or the dissolution of an adoption. </p> <p><br> </p>",,,,,,
"S. 1309",https://www.congress.gov/bill/112th-congress/senate-bill/1309,"112th Congress (2011-2012)","A bill to amend title XIX of the Social Security Act to cover physician services delivered by podiatric physicians to ensure access by Medicaid beneficiaries to appropriate quality foot and ankle care.","Schumer, Charles E. [Sen.-D-NY] (Introduced 06/30/2011)",Democratic,06/30/2011,"Senate - Finance","Read twice and referred to the Committee on Finance.",06/30/2011,"Grassley, Chuck [Sen.-R-IA]","Cardin, Benjamin L. [Sen.-D-MD]","Mikulski, Barbara A. [Sen.-D-MD]","Harkin, Tom [Sen.-D-IA]","Wyden, Ron [Sen.-D-OR]","Merkley, Jeff [Sen.-D-OR]","Stabenow, Debbie [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Health,"Health care coverage and access","Health personnel",Medicaid,"Musculoskeletal and skin diseases",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3364,,,,,,,,,,,,CRS,,"11/04/2011 Referred to the Subcommittee on Health.",,,,,,,,,,,," <p>Equity and Access for Podiatric Physicians Under Medicaid Act - Amends title XIX (Medicaid) of the Social Security Act to include podiatrists as physicians in order to cover their services under the Medicaid program.</p>",,,,,,
"S. 1295",https://www.congress.gov/bill/112th-congress/senate-bill/1295,"112th Congress (2011-2012)","A bill to amend the Trade Act of 1974 to create a Citrus Disease Research and Development Trust Fund to support research on diseases impacting the citrus industry, and for other purposes.","Nelson, Bill [Sen.-D-FL] (Introduced 06/29/2011)",Democratic,06/29/2011,"Senate - Finance","Read twice and referred to the Committee on Finance.",06/29/2011,"Feinstein, Dianne [Sen.-D-CA]","Boxer, Barbara [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Advisory bodies","Agricultural research","Agricultural trade","Animal and plant health","Congressional oversight","Foreign Trade and International Finance","Fruit and vegetables","Government trust funds","Pest management","Research administration and funding","Research and development",Tariffs,"Trade agreements and negotiations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,S.903,S.3568,,,,,,,,,,,CRS,,"05/05/2011 Read twice and referred to the Committee on Finance.","09/20/2012 By Senator Baucus from Committee on Finance filed written report. Report No. 112-227.",,,,,,,,,,," <p>Citrus Disease Research and Development Trust Fund Act of 2011 - Amends the Trade Act of 1974 to establish the Citrus Disease Research and Development Trust Fund, consisting of revenues from duties paid on imported citrus or citrus products, to support scientific research, technical assistance, and development activities to combat both domestic and invasive citrus diseases and pests harming the United States.</p> <p> Establishes the Citrus Disease Research and Development Trust Fund Advisory Board.</p> <p>Makes Fund amounts available to the Secretary of Agriculture to develop a coordinated program of research and product development relating to: (1) scientific research of both domestic and invasive diseases and pests afflicting the citrus industry; and (2) support for the dissemination and commercialization of relevant information, techniques, and technologies discovered through Fund research or other research projects intended to solve problems caused by citrus production diseases and invasive pests.</p> <p>Requires the President to notify certain congressional committees before entering into a trade agreement that could result in a decrease in the amount of: (1) duties paid on imported citrus or citrus products, and (2) funds transferred into the Fund.</p>",,,,,,
"S. 1294",https://www.congress.gov/bill/112th-congress/senate-bill/1294,"112th Congress (2011-2012)","A bill to promote the oil independence of the United States, and for other purposes.","Merkley, Jeff [Sen.-D-OR] (Introduced 06/29/2011)",Democratic,06/29/2011,"Senate - Finance","Read twice and referred to the Committee on Finance.",06/29/2011,"Carper, Thomas R. [Sen.-D-DE]","Udall, Tom [Sen.-D-NM]","Bennet, Michael F. [Sen.-D-CO]","Whitehouse, Sheldon [Sen.-D-RI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Administrative law and regulatory procedures","Advanced technology and technological innovations","Advisory bodies","Air quality","Alternative and renewable resources","Building construction","Business investment and capital","Climate change and greenhouse gases",Commuting,"Congressional oversight","Department of Transportation","Electric power generation and transmission","Employee benefits and pensions","Employment and training programs",Energy,"Energy efficiency and conservation","Energy research","Energy storage, supplies, demand","Environmental Protection Agency (EPA)","Environmental assessment, monitoring, research","Environmental regulatory procedures","Executive Office of the President","Executive agency funding and structure","Government employee pay, benefits, personnel management","Government information and archives","Government lending and loan guarantees","Government studies and investigations","Hybrid, electric, and advanced technology vehicles","Income tax credits","Income tax deductions","Income tax exclusion","Industrial facilities","Infrastructure development","Lighting, heating, cooling",Manufacturing,"Marine and inland water transportation","Motor carriers","Motor fuels","Motor vehicles","Oil and gas","Pedestrians and bicycling","Public contracts and procurement","Public transit","Public utilities and utility rates",Railroads,"Research administration and funding","Research and development","Roads and highways",Securities,"Solid waste and recycling","Transportation programs funding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H.R.1149,H.R.2412,S.948,,,,,,,,,,CRS,,"03/28/2011 Referred to the Subcommittee on Energy and Power.","07/06/2011 Referred to the House Committee on Ways and Means.","05/19/2011 Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 112-38.",,,,,,,,,," <p>Oil Independence for a Stronger America Act of 2011 - Establishes in the Executive Office of the President a national energy security program to reduce oil consumption, by calendar 2030, by a quantity equal to or exceeding the quantity of oil imported from outside North America. Directs the President to develop a national oil independence plan to meet or exceed such goal.</p> <p>Establishes a National Energy Security Council to advise the President in meeting such goal.</p> <p>Directs the Secretary of Transportation (DOT) and the Administrator of the Environmental Protection Agency (EPA) to promulgate joint regulations establishing fuel efficiency standards and greenhouse gas emissions limitations for certain automobiles and nonroad vehicles. </p> <p>Establishes within the Department of Energy (DOE) a national plug-in electric drive vehicle deployment program and a targeted electric drive vehicle deployment communities program.</p> <p>Directs the Secretary of Energy to: (1) develop a national plan for plug-in electric drive vehicle deployment, and (2) establish a grants program to assist state and local governmental entities to prepare a community deployment plan.</p> <p>Directs the Administrator of General Services (GSA) to acquire plug-in electric drive vehicles and related charging infrastructure for federal fleets. <p>Establishes a plug-in electric drive vehicle private fleet upgrade program.</p>  <p>Directs the Secretary of Energy to establish a program to fund research, development, and demonstration projects in advanced batteries, plug-in electric drive vehicle components, and charging infrastructure, as well as in secondary use applications.</p> <p>Provides funds for Advanced Research Projects Agency--Energy (ARPA-E) Plug-In Electric Drive Vehicle Research and Development Programs.</p> <p>Directs the Secretary of Energy to establish the Advanced Batteries for Tomorrow Prize for a 500-mile vehicle battery. Creates in the Treasury a 500-mile Battery Fund.</p>  <p>Requires the Secretary of the Interior to study the supply of raw materials needed for the manufacture of plug-in electric drive vehicles, batteries, and supporting infrastructure.</p> <p>Instructs the Secretary of Energy to enter into an agreement with the National Academy of Sciences for the Academy to identify the data that may be collected from plug-in electric drive vehicles.</p> <p>Amends the Public Utility Regulatory Policies Act of 1978 (PURPA) to require each electric utility to develop a plan for plug-in electric drive vehicles.</p> <p>Amends the Energy Independence and Security Act of 2007 to direct the Secretary of Energy to guarantee loans for eligible entities to purchase qualified automotive batteries and for charging infrastructure.</p> <p>Establishes the Plug-in Electric Drive Vehicle Technical Advisory Committee.</p> <p>Directs the President to establish a Plug-in Electric Drive Vehicle Interagency Task Force.</p> <p>Amends the Clean Air Act to direct the EPA Administrator to promulgate regulations to establish: (1) national transportation-related goals for reducing oil consumption and greenhouse gas emissions; and (2) standardized models and methods for states, metropolitan planning organizations (MPOs), and air quality agencies to address oil savings and emission reduction goals.</p> <p>Requires MPOs and states to develop surface transportation-related oil savings and greenhouse gas emission reduction targets, including strategies to meet those targets.</p> <p>Directs the Secretary of Transportation to distribute funds to states and MPOs for investing in transportation greenhouse gas emission reduction programs.</p> <p>Amends the Internal Revenue Code to increase to $230, with a cost-of-living adjustment, the amount of qualified transportation and parking fringe (commuter) benefits excluded from an employee's gross income.</p> <p>Declares it is the goal of the United States to shift at least 10% of freight shipped by truck to rail or marine shipping by 2020.</p> <p>Directs the Secretary to: (1) develop a national freight transportation options plan; and (2) make grants to states for the capital costs of facilities, infrastructure, and equipment for high priority rail corridor projects to reduce congestion in freight rail transportation.</p> <p>Requires the Comptroller General to study and reported to specified congressional committees on the benefits and costs of electrification of rail corridors.</p> <p>Amends the Internal Revenue Code to allow an investment tax credit for advanced biofuel facilities as well as grants in lieu of credits for advanced biofuel facility property. Includes algae-based biofuel in the definition of cellulosic biofuel. Extends: (1) the cellulosic biofuel producer credit, (2) the special allowance for cellulosic biofuel plant property, (3) certain credits for biodiesel and renewable diesel, and (4) alcohol fuels tax credits.</p> <p>Allows a tax credit for qualified natural gas motor vehicles, and creates tax-exempt natural gas vehicle bonds. Allows an expensing deduction for manufacturing facilities producing vehicles fueled by compressed or liquefied natural gas.</p> Directs the GSA Administrator to studymeans of increasing the number of light-, medium-, and heavy-duty natural gas and liquefied petroleum gas vehicles in the federal fleet.<br> <p>Establishes in DOE the Energy Efficiency Improvement for Heating Oil, Propane, and Kerosene Program to fund state participation in programs operated by a national oilheat research alliance or the Propane Education and Research Council to implement cost-effective energy efficiency programs for homes and buildings that use home heating oil, propane, and kerosene.</p> <p>Directs the Secretary of Energy to establish a renewable biomass thermal energy loan program of grants to states to support financial assistance by qualified program delivery entities to replace with certain wood or wood-pellet fired boilers any thermal energy systems in commercial or multifamily residential buildings that use heating oil or another petroleum product.</p>",,,,,,
"S. 1291",https://www.congress.gov/bill/112th-congress/senate-bill/1291,"112th Congress (2011-2012)","A bill to amend the Internal Revenue Code of 1986 to provide a renewable electricity integration credit for a utility that purchases or produces renewable power.","Klobuchar, Amy [Sen.-D-MN] (Introduced 06/28/2011)",Democratic,06/28/2011,"Senate - Finance","Read twice and referred to the Committee on Finance.",06/28/2011,"Johnson, Tim [Sen.-D-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Alternative and renewable resources","Electric power generation and transmission","Income tax credits","Public utilities and utility rates",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.2391,S.559,,,,,,,,,,,CRS,,"06/24/2011 Referred to the Subcommittee on Energy and Power.","03/10/2011 Read twice and referred to the Committee on Finance.",,,,,,,,,,," <p>Amends the Internal Revenue Code to allow an electric utility: (1) a renewable electricity integration tax credit for the purchase or production of renewable power, or (2) a payment in lieu of such credit for sales of renewable electricity to retail customers. </p>",,,,,,
"S. 1289",https://www.congress.gov/bill/112th-congress/senate-bill/1289,"112th Congress (2011-2012)","A bill to amend the Internal Revenue Code of 1986 to reduce the tax gap, and for other purposes.","Carper, Thomas R. [Sen.-D-DE] (Introduced 06/28/2011)",Democratic,06/28/2011,"Senate - Finance","Read twice and referred to the Committee on Finance.",06/28/2011,"Boxer, Barbara [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Bank accounts, deposits, capital","Congressional oversight","Consumer credit","Correctional facilities and imprisonment","Employee benefits and pensions","Employment taxes","Federal-Indian relations","Government information and archives","Government studies and investigations","Housing finance and home ownership","Income tax credits","Income tax exclusion","Income tax rates","Insurance industry and regulation","Interest, dividends, interest rates",Medicaid,Medicare,"Public contracts and procurement","Right of privacy",Securities,"Small business","State and local taxation","Tax administration and collection, taxpayers","Tax reform and tax simplification",Taxation,"User charges and fees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Taxpayer Advocacy and Government Accountability Promotion Act of 2011 or the TAX GAP Act of 2011 - Amends the Internal Revenue Code to: (1) eliminate certain payment requirements for submitting offers-in-compromise of tax liability; (2) expand requirements for electronic filing of tax returns to certain large corporations and partnerships; (3) require additional information on tax returns relating to mortgage interest; (4) expand information reporting requirements for bank accounts, non-interest bearing deposits, and electronic filings by paid tax preparers; (5) expand withholding requirements with respect to payments to contractors and extend the continuous levy to cover payments to Medicaid and Medicare providers; (6) require the heads of the Federal Bureau of Prisons and state prisons to provide detailed information to the Internal Revenue Service (IRS) on certain inmates; (7) grant the IRS access to information in the National Directory of New Hires for tax administration purposes; and (8) increase and expand criminal and civil penalties for failure to comply with tax reporting and filing requirements, including requirements for electronic filing.</p> <p>Authorizes the Secretary of the Treasury to make an apology payment to a taxpayer for any action or inaction by the IRS that has caused the taxpayer excess expense or undue burden. Excludes the amount of any such apology payment from taxpayer gross income.</p> <p>Directs the Secretary to: (1) revise Schedule C of tax form 1040 (self-employment income) to require reporting of additional gross receipts and expense information by sole proprietors, and (2) report to Congress on efforts to improve voluntary compliance by sole proprietors.</p> <p>Requires the Secretary to submit to Congress: (1) a report on taxpayer assistance and tax simplification, (2) comprehensive and detailed reports on a strategy for reducing the tax gap, (3) a study on revenue increases and costs with respect to tax gap legislation, and (4) reports on worker misclassification (e.g., employees classified as independent contractors). </p> <p><br> </p>",,,,,,
"S. 1286",https://www.congress.gov/bill/112th-congress/senate-bill/1286,"112th Congress (2011-2012)","A bill to extend trade adjustment assistance, and for other purposes.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 06/28/2011)",Democratic,06/28/2011,"Senate - Finance","Read twice and referred to the Committee on Finance.",06/28/2011,"Brown, Sherrod [Sen.-D-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Agricultural trade","Employee benefits and pensions","Employment and training programs","Foreign Trade and International Finance","Health care costs and insurance","Income tax credits","Trade adjustment assistance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Trade Adjustment Assistance Extension Act of 2011 - Amends the Trade and Globalization Adjustment Assistance Act of 2009 to repeal the December 31, 2011, termination date for trade adjustment assistance (TAA) programs. </p> <p>Amends the Trade Act of 1974 to extend TAA programs through December 31, 2016.</p> <p>Extends TAA through December 31, 2016, for: (1) workers, (2) firms, (3) farmers, and (4) communities.</p> <p>Amends the Internal Revenue Code to extend through December 31, 2016, the 80% tax credit for health insurance costs (including advance payments) for TAA (as well as Pension Benefit Guaranty Corporation [PBGC] pension) recipients.</p> <p>Makes TAA recipients who are in a break in training under a training program, or who are receiving unemployment compensation, eligible for such tax credit for the period through December 31, 2016. </p> <p>Amends the IRC, the Employee Retirement Income Security Act of 1974 (ERISA), and the Public Health Service Act (PHSA) to extend through December 31, 2016, the TAA pre-certification period rule disregarding any 63-day lapse in creditable health care coverage for TAA workers.</p> <p>Extends the continued eligibility for the credit for qualifying family members and certain qualified TAA-eligible individuals and PBGC pension recipients for COBRA premium assistance through December 31, 2016.</p> <p>Extends through December 31, 2016, coverage under an employee benefit plan funded by a voluntary employees' beneficiary association established pursuant to an order of a bankruptcy court, or by agreement with an authorized representative.</p> <p>Expands rules for valuing assets in grantor retained annuity trusts to require: (1) that the right to receive fixed amounts from an annuity last for a term of not less than 10 years and that such fixed amounts not decrease during the first 10 years of the annuity term, and (2) that the remainder interest have a value greater than zero when transferred.</p>",,,,,,
"S. 1285",https://www.congress.gov/bill/112th-congress/senate-bill/1285,"112th Congress (2011-2012)","A bill to amend the Internal Revenue Code of 1986 to extend and modify the credit for new qualified hybrid motor vehicles, and for other purposes.","Kohl, Herb [Sen.-D-WI] (Introduced 06/28/2011)",Democratic,06/28/2011,"Senate - Finance","Read twice and referred to the Committee on Finance.",06/28/2011,"Blunt, Roy [Sen.-R-MO]","McCaskill, Claire [Sen.-D-MO]","Hagan, Kay R. [Sen.-D-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Administrative law and regulatory procedures","Air quality","Alternative and renewable resources","Department of Energy","Energy efficiency and conservation","Hybrid, electric, and advanced technology vehicles","Income tax credits","Motor carriers","Motor fuels",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.1220,,,,,,,,,,,,CRS,,"06/16/2011 Read twice and referred to the Committee on Finance.",,,,,,,,,,,," <p>Hybrid and Electric Trucks and &nbsp;Infrastructure Act - Amends the Internal Revenue Code to: (1) increase and extend through 2015 the tax credit for new qualified hybrid motor vehicles; (2) allow such credit for certain fuel-efficient heavy trucks and heavy electric vehicles; (3) extend through 2014 the tax credit for alternative fuel vehicle refueling property expenditures; (4) expand the definition of refueling property for electric motor vehicles to include panel upgrades, wiring, conduit, trenching, pedestals, and related equipment; and (5) allow a new tax credit, through 2014, for 50% of the cost, up to $3,500, for electric idling reduction devices installed on heavy-duty diesel powered on-highway vehicles. </p> <p>Directs the Secretary of Energy to publish standards for certifying idling reduction devices.</p>",,,,,,
"S. 1277",https://www.congress.gov/bill/112th-congress/senate-bill/1277,"112th Congress (2011-2012)","A bill to amend the Internal Revenue Code of 1986 to modify the incentives for the production of biodiesel.","Cantwell, Maria [Sen.-D-WA] (Introduced 06/23/2011)",Democratic,06/23/2011,"Senate - Finance","Read twice and referred to the Committee on Finance.",06/23/2011,"Grassley, Chuck [Sen.-R-IA]","Harkin, Tom [Sen.-D-IA]","Murray, Patty [Sen.-D-WA]","Klobuchar, Amy [Sen.-D-MN]","Franken, Al [Sen.-D-MN]","Blunt, Roy [Sen.-R-MO]","Johnson, Tim [Sen.-D-SD]","Thune, John [Sen.-R-SD]","Shaheen, Jeanne [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Alternative and renewable resources","Income tax credits","Motor fuels","Sales and excise taxes",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.684,H.R.2238,,,,,,,,,,,CRS,,"02/14/2011 Referred to the House Committee on Ways and Means.","06/16/2011 Referred to the House Committee on Ways and Means.",,,,,,,,,,," <p>Biodiesel Tax Incentive Reform and Extension Act of 2011 - Amends the Internal Revenue Code to revise the income and excise tax credits for biodiesel used as fuel to: (1) allow a $1.00 tax credit for each gallon of biodiesel produced; (2) provide for an increased income tax credit for small biodiesel producers; (3) revise the definitions of &quot;biodiesel&quot; and &quot;small biodiesel producer&quot;; (4) treat renewable diesel in the same manner as biodiesel for income tax purposes; and (5) treat biodiesel as a taxable fuel for excise tax purposes. Extends the biodiesel income and excise tax credits through December 31, 2014.</p>",,,,,,
"S. 1275",https://www.congress.gov/bill/112th-congress/senate-bill/1275,"112th Congress (2011-2012)","A bill to require the Secretary of Health and Human Services to remove social security account numbers from Medicare identification card and communications provided to Medicare beneficiaries in order to protect Medicare beneficiaries from identity theft.","Durbin, Richard J. [Sen.-D-IL] (Introduced 06/23/2011)",Democratic,06/23/2011,"Senate - Finance","Read twice and referred to the Committee on Finance. (text of measure as introduced: CR S4102)",06/23/2011,"Kohl, Herb [Sen.-D-WI]","Bingaman, Jeff [Sen.-D-NM]","Gillibrand, Kirsten E. [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Computer security and identity theft","Government information and archives",Health,Medicare,"Social security and elderly assistance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.1251,,,,,,,,,,,,CRS,,"06/22/2011 Read twice and referred to the Committee on Finance.",,,,,,,,,,,," <p>Social Security Number Protection Act of 2011 - Requires the Secretary of Health and Human Services (HHS) to establish and begin to implement procedures to eliminate the unnecessary collection, use, and display of Social Security account numbers of Medicare beneficiaries on Medicare identification cards and communications.</p> <p>Prohibits a Social Security card also from storing a Social Security account number electronically.</p> <p>Allows the display of a Social Security number on written or electronic communications only if the Secretary determines that its inclusion on such communications is essential for the operation of the Medicare program.</p>",,,,,,
