"Downloaded on",03/04/2025,"18:22:53 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%2294%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 751",https://www.congress.gov/bill/94th-congress/senate-bill/751,"94th Congress (1975-1976)","A bill to amend section 313 of the National Housing Act, as added by the Emergency Home Purchase Assistance Act of 1974, to authorize the Government National Mortgage Association, under the emergency program authorized by that section, to purchase certain mortgages covering multifamily rental, cooperative, or condominium housing.","Tower, John G. [Sen.-R-TX] (Introduced 02/19/1975)",Republican,02/19/1975,"Senate - Banking, Housing, and Urban Affairs","Referred to Senate Committee on Banking, Housing and Urban Affairs.",02/19/1975,"Beall, J. Glenn, Jr. [Sen.-R-MD]","Hatfield, Mark O. [Sen.-R-OR]","Javits, Jacob K. [Sen.-R-NY]","Taft, Robert, Jr. [Sen.-R-OH]","Tunney, John V. [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Condominium (Housing)","Cooperative housing","Finance and Financial Sector","Housing and Community Development",Mortgages,Rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Authorizes the Government National Mortgage Association, under the emergency program authorized by the Emergency Home Purchase Assistance Act, to purchase qualified mortgages covering multifamily rental, cooperative, or condominium housing.",,,,,,
"S. 742",https://www.congress.gov/bill/94th-congress/senate-bill/742,"94th Congress (1975-1976)","A bill for the relief of Edward N. Deutschmann.","Scott, Hugh [Sen.-R-PA] (Introduced 02/19/1975)",Republican,02/19/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",02/19/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Edward N. Deutschmann.",,,,,,
"S. 741",https://www.congress.gov/bill/94th-congress/senate-bill/741,"94th Congress (1975-1976)","A bill to establish a program of Federal insurance against catastrophic disasters.","Scott, Hugh [Sen.-R-PA] (Introduced 02/19/1975)",Republican,02/19/1975,"Senate - Banking, Housing, and Urban Affairs","Referred to Senate Committee on Banking, Housing and Urban Affairs.",02/19/1975,"Schweiker, Richard S. [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Department of Housing and Urban Development","Disaster insurance",Disasters,"Emergency Management","Executive reorganization","Housing and Community Development",Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>National Catastrophic Disaster Insurance Act - Establishes a program of Federal insurance against catastrophic natural disasters and other such disasters utilizing the private insurance industry, particularly risk-sharing pools of insurance companies, while preserving State regulation. <p>Establishes, within the office of the Federal Insurance Administrator in the Department of Housing and Urban Development, the position of Assistant Insurance Administrator for Disaster Insurance, who shall head an office of Federal Disaster Insurance. <p>Authorizes the Secretary of the Department of Housing and Urban Development to:  (1) impose and collect an insurance premium surcharge which may not exceed 5 percent and may vary on a statewide regional, country wide basis, or any combination of these; (2) determine and prescribe the terms, conditions, and limitations of the catastrophic disaster insurance program as provided under this Act; (3) purchase reinsurance to the extent deemed appropriate and available; (4) make such disbursements from a special fund established in the U.S. Treasury for operations under this Act in order to reimburse insurance companies in full for claims paid by them for covered losses under the Act's program and for other operating expenses incurred by such companies under the program; and (5) make other disbursements and take other actions necessary to carry out the purposes of the Act. <p>Extends as mandatory the coverage of castatrophic disasters in each property insurance policy now in effect or hereafter issued, other than motor vehicle insurance policies. <p>Establishes in U.S. Treasury a fund to be used by the Secretary for operating and capital expenses under this Act. <p>Forbids coverage of new catastrophic disaster insurance where in violation of State or local laws or where the Secretary determines an area to be of special catastrohpic disaster risk. <p>Prohibits the duplications of benefits where loss is covered by a valid claim paid under catastrophic disaster insurance under this Act. <p>Provides for the termination of the Act's program no later than June 30, 1975 if catastrophic disaster insurance equal or increased coverage is provided by private insurance companies.",,,,,,
"S. 732",https://www.congress.gov/bill/94th-congress/senate-bill/732,"94th Congress (1975-1976)","A bill to grant a preference in employment in the competitive Civil Service to individuals who have served an enlistment in a National Guard or Reserve unit.","Dole, Robert J. [Sen.-R-KS] (Introduced 02/18/1975)",Republican,02/18/1975,"Senate - Post Office and Civil Service","Referred to Senate Committee on Post Office and Civil Service.",02/18/1975,"Moss, Frank E. [Sen.-D-UT]","Thurmond, Strom [Sen.-R-SC]","Young, Milton R. [Sen.-R-ND]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Armed Forces and National Security","Armed forces reserves","Civil service system","Federal employees","Federal employees and officials","National Guard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Grants a preference in employment in the competitive civil service to individuals who have served an enlistment in a National Guard or Reserve unit for a period of at least 12 consecutive months.",,,,,,
"S. 731",https://www.congress.gov/bill/94th-congress/senate-bill/731,"94th Congress (1975-1976)","A bill to designate certain lands in the Bandelier National Monument, New Mexico, as wilderness.","Domenici, Pete V. [Sen.-R-NM] (Introduced 02/18/1975)",Republican,02/18/1975,"Senate - Interior and Insular Affairs","Referred to Senate Committee on Interior and Insular Affairs.",02/18/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Monuments and memorials","New Mexico","Public Lands and Natural Resources","Wilderness areas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Designates approximately 23,085 acres in the Bandelier National Monument, New Mexico, as wilderness.  Provides that within such wilderness area the Secretary of the Interior undertake minimum activity necessary to investigate and stabilize sites of archeological interest.",,,,,,
"S. 728",https://www.congress.gov/bill/94th-congress/senate-bill/728,"94th Congress (1975-1976)","A bill to authorize the Administrator of the National Aeronautics and Space Administration to name a space vehicle to be launched in 1976 the ""Dr. Robert Hutchings Goddard Rocket.""","Domenici, Pete V. [Sen.-R-NM] (Introduced 02/18/1975)",Republican,02/18/1975,"Senate - Aeronautical and Space Sciences","Referred to Senate Committee on Aeronautical and Space Sciences.",02/18/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Government Operations and Politics",Names,"National Aeronautics and Space Administration","Rockets (Aeronautics)",Space,"Space flight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Provides that in recognition of the enormous contribution of Dr. Goddard, the father of modern rocketry, the Administrator of the National Aeronantic and Space Administration is authorized to name any integrated launch or lift vehicle scheduled to be launched in 1976 to ""Doctor Robert Hutchings Goddard Rocket"".",,,,,,
"S. 727",https://www.congress.gov/bill/94th-congress/senate-bill/727,"94th Congress (1975-1976)","A bill to return Congress, through the implementation of procedural reforms, the ability to insure that rules and regulations promulgated through the administrative process shall reflect the intent of Congress.","Bellmon, Henry L. [Sen.-R-OK] (Introduced 02/18/1975)",Republican,02/18/1975,"Senate - Government Operations","Referred to Senate Committee on Government Operations.",02/18/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative law and regulatory procedures","Administrative procedure","Government Operations and Politics","Government regulation","House of Representatives",Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3846,,,,CRS,,"02/27/1975 Referred to House Committee on the Judiciary.",,,,"<p>Regulatory Control Act - Provides that, upon the promulgation of proposed rules and regulations implementing public laws, by the head of an executive or military department, the committee of origin, whether in the Senate or in the House of Representatives, shall give approval or disapproval of said rules and regulations within sixty days from the date of their submission. <p>States that in the event the committee fails to disapprove the proposed rules and regulations, within 60 days, such abstention shall be deemed to be approval of said rules and regulations. (Amends 5 U.S.C. 301).",,,,,,
"S. 717",https://www.congress.gov/bill/94th-congress/senate-bill/717,"94th Congress (1975-1976)","A bill to amend title XVI of the Social Security Act so as to expedite the establishment of eligibility for benefits thereunder, to afford relief to individuals whose benefit check is lost, stolen, or undelivered, and to provide for cash advances to applicants while their application for benefits is pending.","Brooke, Edward W. [Sen.-R-MA] (Introduced 02/18/1975)",Republican,02/18/1975,"Senate - Finance","Referred to Senate Committee on Finance.",02/18/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Aged and aging","Aged, blind, and disabled",Blind,Disabled,"Social Welfare","Supplemental security income program",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Directs the Secretary of Health, Education, and Welfare to grant financial assistance within 45 days under Title XVI of the Social Security Act (Grants to States for Aid to the Aged, Blind, or Disabled) for (1) replacement of lost, stolen, or undelivered benefit checks, or (2) replacement of lost or stolen cash determined by the Secretary to constitute the proceeds of one or more of such checks.  Requires the Secretary to make a cash advance of $100 to individuals who have applied for emergency benefits while their application is pending.",,,,,,
"S. 716",https://www.congress.gov/bill/94th-congress/senate-bill/716,"94th Congress (1975-1976)","A bill to amend title XVI of the Social Security Act to increase the amount of benefits payable to individuals under the supplemental security income program.","Brooke, Edward W. [Sen.-R-MA] (Introduced 02/18/1975)",Republican,02/18/1975,"Senate - Finance","Referred to Senate Committee on Finance.",02/18/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Social Welfare","Supplemental security income program",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Increases to $2,400 the amount of benefits payable to individuals under the supplemental security income program of the Social Security Act.",,,,,,
"S. 715",https://www.congress.gov/bill/94th-congress/senate-bill/715,"94th Congress (1975-1976)","A bill to require that, for purposes of determining medicaid eligibility, there be disregarded so much of an individual's social security income as in attributable to any cost-of-living increase in social security benefits which takes effect in 1975.","Brooke, Edward W. [Sen.-R-MA] (Introduced 02/18/1975)",Republican,02/18/1975,"Senate - Finance","Referred to Senate Committee on Finance.",02/18/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Medicaid,"Social Welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Requires that, for purposes of determining medicaid eligibility under title XIX of the Social Security Act, there be disregarded so much of an individual's social security income as is attributable to any cost-of-living increase in social security benefits which takes effect in 1975.",,,,,,
"S. 714",https://www.congress.gov/bill/94th-congress/senate-bill/714,"94th Congress (1975-1976)","A bill to provide that, in determining the eligibility of any household for a couple allotment under the Food Stamp Act of 1964, there shall be disregarded so much of the income of any member of such household as is attributable to any cost-of-living increase in social security benefits which takes effect in 1975.","Brooke, Edward W. [Sen.-R-MA] (Introduced 02/18/1975)",Republican,02/18/1975,"Senate - Agriculture and Forestry","Referred to Senate Committee on Agriculture and Forestry.",02/18/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Agriculture and Food","Food stamps",Poverty,"Public assistance programs","Social Welfare","Supplemental security income program",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Provides that, in determining the eligibility of any household for a couple allotment under the Food Stamp Act, there shall be disregarded so such of the income of any member of such household as is attributable to any cost-of-living increase in social security benefits which takes effect in 1975.",,,,,,
"S. 712",https://www.congress.gov/bill/94th-congress/senate-bill/712,"94th Congress (1975-1976)","A bill to amend the Occupational Safety and Health Act of 1970.","Bellmon, Henry L. [Sen.-R-OK] (Introduced 02/18/1975)",Republican,02/18/1975,"Senate - Labor and Public Welfare","Referred to Senate Committee on Labor and Public Welfare.",02/18/1975,"Bartlett, Dewey F. [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Labor and Employment","Occupational health and safety","Safety measures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Occupational Safety and Health Amendments - Provides that due consideration be given to the gravity of a violation, the good faith of the employer, and the history of previous violations prior to the assessment of a penalty under the Occupational Safety and Health Act of 1970. <p>Stipulates that, in order to carry out his responsibilities the Secretary of Labor shall, upon request, visit the workplaces of employers having 100 or fewer employees for the purpose of affording consultation and advice to such employers. Directs the Secretary to make recommendations regarding the elimination of any hazards disclosed within the scope of the onsite consultation. <p>Declares that this Act shall take effect 60 days after the date of enactment.",,,,,,
"S. 708",https://www.congress.gov/bill/94th-congress/senate-bill/708,"94th Congress (1975-1976)","A bill to provide for displaying for public viewing at the Arlington National Cemetery the names of certain deceased veterans.","Scott, Hugh [Sen.-R-PA] (Introduced 02/18/1975)",Republican,02/18/1975,"Senate - Veterans' Affairs","Referred to Senate Committee on Veterans' Affairs.",02/18/1975,"Bartlett, Dewey F. [Sen.-R-OK]","Brooke, Edward W. [Sen.-R-MA]","Cannon, Howard W. [Sen.-D-NV]","Dole, Robert J. [Sen.-R-KS]","Domenici, Pete V. [Sen.-R-NM]","Humphrey, Hubert H. [Sen.-D-MN]","Johnston, J. Bennett [Sen.-D-LA]","Metcalf, Lee [Sen.-D-MT]","Stevenson, Adlai E., III [Sen.-D-IL]","Tunney, John V. [Sen.-D-CA]","Williams, Harrison A., Jr. [Sen.-D-NJ]","Young, Milton R. [Sen.-R-ND]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"Armed Forces and National Security","Cemeteries and funerals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Directs the Secretary of Defense to provide for displaying for public viewing at the Arlington National Cemetery the names of deceased veterans upon the request of the spouse or next of kin of such veterans.  Authorizes appropriations to carry out this Act.",,,,,,
"S. 707",https://www.congress.gov/bill/94th-congress/senate-bill/707,"94th Congress (1975-1976)","A bill for the relief of Nelson Montenegro.","Schweiker, Richard S. [Sen.-R-PA] (Introduced 02/18/1975)",Republican,02/18/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",02/18/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Nelson Montenegro.",,,,,,
"S. 700",https://www.congress.gov/bill/94th-congress/senate-bill/700,"94th Congress (1975-1976)","A bill to amend the Agricultural Adjustment Act of 1938, as amended.","Thurmond, Strom [Sen.-R-SC] (Introduced 02/17/1975)",Republican,02/17/1975,"House - Agriculture | Senate - Agriculture and Forestry","Referred to House Committee on Agriculture.",01/27/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Agriculture and Food",Tobacco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"(Measure passed Senate, amended) <p> Allows the leasing of flue-cured tobacco allotments or quotas across county lines within the same State (except North Carolina) under the Agricultural Adjustment Act, provided a majority of the flue-cured tobacco growers of such State voting in a referendum conducted by the Secretary of Agriculture have approved cross-county leasing.",,,,,,
"S. 699",https://www.congress.gov/bill/94th-congress/senate-bill/699,"94th Congress (1975-1976)","A bill to permit Senators to use mobile offices in their home State.","Dole, Robert J. [Sen.-R-KS] (Introduced 02/17/1975)",Republican,02/17/1975,"Senate - Appropriations, Government Operations","Referred to Senate Committee on Government Operations.",02/17/1975,"Culver, John C. [Sen.-D-IA]","Abourezk, James [Sen.-D-SD]","Bartlett, Dewey F. [Sen.-R-OK]","Bellmon, Henry L. [Sen.-R-OK]","Bentsen, Lloyd M. [Sen.-D-TX]","Biden, Joseph R., Jr. [Sen.-D-DE]","Brock, Bill [Sen.-R-TN]","Buckley, James L. [Sen.-R-NY]","Cranston, Alan [Sen.-D-CA]","Domenici, Pete V. [Sen.-R-NM]","Fannin, Paul J. [Sen.-R-AZ]","Ford, Wendell H. [Sen.-D-KY]","Garn, E. J. (Jake) [Sen.-R-UT]","Glenn, John H., Jr. [Sen.-D-OH]","Gravel, Mike [Sen.-D-AK]","Hart, Gary W. [Sen.-D-CO]","Hartke, Vance [Sen.-D-IN]","Haskell, Floyd K. [Sen.-D-CO]","Humphrey, Hubert H. [Sen.-D-MN]","Javits, Jacob K. [Sen.-R-NY]","Johnston, J. Bennett [Sen.-D-LA]","Laxalt, Paul D. [Sen.-R-NV]","Leahy, Patrick J. [Sen.-D-VT]","Mondale, Walter F. [Sen.-D-MN]","Morgan, Robert B. [Sen.-D-NC]","Moss, Frank E. [Sen.-D-UT]","Packwood, Bob [Sen.-R-OR]","Pell, Claiborne [Sen.-D-RI]","Stevenson, Adlai E., III [Sen.-D-IL]","Tower, John G. [Sen.-R-TX]","Tunney, John V. [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,31,Congress,"Members of Congress","Members of Congress (Senate)",Offices,Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Authorizes, under the Legislative Branch Appropriations Act, each Senator to have one or more mobile offices in the State he represents.  Specifies the formula for determining the maximum rental amount to be paid for such offices.",,,,,,
"S. 695",https://www.congress.gov/bill/94th-congress/senate-bill/695,"94th Congress (1975-1976)","A bill to amend the Clear Air Act with respect to certain motor vehicle emission standards.","Scott, William Lloyd [Sen.-R-VA] (Introduced 02/17/1975)",Republican,02/17/1975,"Senate - Public Works","Referred to Senate Committee on Public Works.",02/17/1975,"Eastland, James O. [Sen.-D-MS]","Fannin, Paul J. [Sen.-R-AZ]","Helms, Jesse [Sen.-R-NC]","Laxalt, Paul D. [Sen.-R-NV]","Thurmond, Strom [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Environmental Protection","Motor vehicle pollution control","Motor vehicles",Pollution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Extends for five years, under the Clean Air Act, the dates for compliance with the present Federal emission standards for carbon monoxide, oxides of nitrogen, and hydrocarbons from light duty vehicles and engines.",,,,,,
"S. 694",https://www.congress.gov/bill/94th-congress/senate-bill/694,"94th Congress (1975-1976)","A bill to amend the Clean Air Act with respect to certain stationary source emission limitations.","Scott, William Lloyd [Sen.-R-VA] (Introduced 02/17/1975)",Republican,02/17/1975,"Senate - Public Works","Referred to Senate Committee on Public Works.",02/17/1975,"Eastland, James O. [Sen.-D-MS]","Fannin, Paul J. [Sen.-R-AZ]","Goldwater, Barry [Sen.-R-AZ]","Helms, Jesse [Sen.-R-NC]","Thurmond, Strom [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Air pollution control",Coal,"Electric power","Environmental Protection","Mines and mineral resources",Pollution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Fuel Emergency Clean Air Act Amendments - Directs the Administrator of the Environmental Protection Agency to extend any stationary source fuel or sulfur oxide emission limitation for a powerplant using coal as its primary source.  Stipulates that such extension shall be made only if such powerplant can apply interim measures to attain national primary ambient air quality standards.  Limits such extension to a period ending January 1, 1985.",,,,,,
"S. 693",https://www.congress.gov/bill/94th-congress/senate-bill/693,"94th Congress (1975-1976)","A bill to amend the Clear Air Act to establish a limitation on certain air quality standards established pursuant to such Act.","Scott, William Lloyd [Sen.-R-VA] (Introduced 02/17/1975)",Republican,02/17/1975,"Senate - Public Works","Referred to Senate Committee on Public Works.",02/17/1975,"Thurmond, Strom [Sen.-R-SC]","Curtis, Carl T. [Sen.-R-NE]","Eastland, James O. [Sen.-D-MS]","Fannin, Paul J. [Sen.-R-AZ]","Goldwater, Barry [Sen.-R-AZ]","Helms, Jesse [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Air pollution control","Environmental Protection",Pollution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Reaffirms, under the Clean Air Act, the standards to protect the quality of the Nation's air. Limits such standards by providing that nothing in such Act is intended to require or provide for the establishment of standards more stringent than primary and secondary ambient air quality standards.",,,,,,
"S. 690",https://www.congress.gov/bill/94th-congress/senate-bill/690,"94th Congress (1975-1976)","A bill for the relief of Shelia J. Phelps.","Stafford, Robert T. [Sen.-R-VT] (Introduced 02/17/1975)",Republican,02/17/1975,"House - Judiciary | Senate - Judiciary","Referred to House Committee on the Judiciary.",11/11/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Shelia J. Phelps.",,,,,,
"S. 689",https://www.congress.gov/bill/94th-congress/senate-bill/689,"94th Congress (1975-1976)","A bill for the relief of Magdalena Pisga Mulato.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 02/17/1975)",Republican,02/17/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",02/17/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Magdalena Pisga Mulato.",,,,,,
"S. 688",https://www.congress.gov/bill/94th-congress/senate-bill/688,"94th Congress (1975-1976)","A bill for the relief of Antonio Passalaqua.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 02/17/1975)",Republican,02/17/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",02/17/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Antonio Passalaqua.",,,,,,
"S. 687",https://www.congress.gov/bill/94th-congress/senate-bill/687,"94th Congress (1975-1976)","A bill for the relief of Consuelo Coronado.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 02/17/1975)",Republican,02/17/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",02/17/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Consuelo Coronado.",,,,,,
"S. 686",https://www.congress.gov/bill/94th-congress/senate-bill/686,"94th Congress (1975-1976)","A bill for the relief of Asuncion Ventura-Rumi.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 02/17/1975)",Republican,02/17/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",02/17/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Asuncion Ventura-Rumi.",,,,,,
"S. 685",https://www.congress.gov/bill/94th-congress/senate-bill/685,"94th Congress (1975-1976)","A bill to authorize certain corporations under the Alaska Native Claims Settlement Act to merge or consolidate.","Stevens, Ted [Sen.-R-AK] (Introduced 02/17/1975)",Republican,02/17/1975,"Senate - Interior and Insular Affairs","Referred to Senate Committee on Interior and Insular Affairs.",02/17/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Alaska,Claims,"Indian claims","Native Americans","Public Lands and Natural Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4581,,,,CRS,,"03/10/1975 Referred to House Committee on Interior and Insular Affairs.",,,,"<p>Authorizes the merger or consolidation of village corporations formed within the same region of Alaska under the Alaska Native Claims Settlement Act.  Permits the subsequent merger of any such merged corporations with other such merged corporations within the same region.  States that such mergers shall be on mergers voted on by shareholders either before or after this bill's enactment.  States that the merged corporation would be entitled to all rights and benefits of the Alaska Native Claims Settlement Act and shall be subject to all the restrictions and obligations of such Act. <p>Permits the elimination, under specified circumstances, of the extra rights given to nonvillage residents as part of the terms of a merger or consolidation.",,,,,,
"S. 684",https://www.congress.gov/bill/94th-congress/senate-bill/684,"94th Congress (1975-1976)","A bill to amend the Federal Aviation Act of 1958, as amended, by requiring certification and subsidy of at least two air carriers to points receiving neither highway nor railroad service.","Stevens, Ted [Sen.-R-AK] (Introduced 02/17/1975)",Republican,02/17/1975,"Senate - Commerce","Referred to Senate Committee on Commerce.",02/17/1975,"Gravel, Mike [Sen.-D-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Aircraft,"Aircraft carriers","Airline law and legislation",Airlines,"Armed Forces and National Security",Aviation,"Civil Aeronautics Board","Housing and Community Development","Independent regulatory commissions","Rural affairs legislation","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Requires that the Civil Aeronautics Board shall consider as necessary to the public interest and to the sound development of an air-transport system, the certification and subsidy of at least two air carriers to provide air service to points in the United States receiving neither highway nor railroad service.",,,,,,
