"Downloaded on",03/04/2025,"18:44:01 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22112%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3268",https://www.congress.gov/bill/112th-congress/senate-bill/3268,"112th Congress (2011-2012)","A bill to amend title 49, United States Code, to provide rights for pilots, and for other purposes.","Inhofe, James M. [Sen.-R-OK] (Introduced 06/06/2012)",Republican,06/06/2012,,"Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 422.",06/07/2012,"Begich, Mark [Sen.-D-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Administrative remedies","Advisory bodies","Aviation and airports","Government information and archives","Government studies and investigations","Health information and medical records","Judicial review and appeals","Licensing and registrations","National Transportation Safety Board (NTSB)","Transportation and Public Works","Transportation employees","Transportation safety and security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.3816,S.1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,House,"01/25/2012 Referred to the Subcommittee on Aviation.","08/03/2012 Became Public Law No: 112-153.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Pilot's Bill of Rights - Requires National Transportation Safety Board (NTSB) proceedings for the review of decisions of the Administrator of the Federal Aviation Administration (FAA) to deny, amend, modify, suspend, or revoke an airman's certificate to be conducted, to the extent practicable, in accordance with the Federal Rules of Civil Procedure and Federal Rules of Evidence.</p> <p>Requires the Administrator to: (1) advise the subject of an investigation involving the approval, denial, suspension, modification, or revocation of an airman certificate of specified information pertinent to the investigation; and (2) provide him or her with access to relevant air traffic data.</p> <p>Allows an individual to elect to file an appeal of a certificate denial, a punitive civil action, or an emergency order of revocation in the U.S. district court in which individual resides, in which the action in question occurred, or the district court for the District of Columbia. Allows an adversely affected individual who elects not to file an appeal in a federal district court to file such appeal with the NTSB.</p> <p>Directs the Administrator to begin a Notice to Airmen (NOTAM) Improvement Program to improve the system of providing airmen with pertinent and timely information before a flight in the national airspace system.</p> <p>Makes Flight Service Station briefings and other air traffic services performed by Lockheed Martin or any other government contractor available to airmen under the Freedom of Information Act (FOIA).</p> <p>Requires the Administrator to review the FAA system for the medical certification of airmen in order to: (1) revise the medical application form, (2) align medical qualification policies with present-day qualified medical judgment and practices, and (3) publish objective medical standards to advise the public of the criteria determining an airman's medical certificate eligibility.</p> <ul> </ul>",,,,,,
"S. 3266",https://www.congress.gov/bill/112th-congress/senate-bill/3266,"112th Congress (2011-2012)","A bill to amend the Higher Education Act of 1965 to reset interest rates for new student loans.","Coburn, Tom [Sen.-R-OK] (Introduced 06/06/2012)",Republican,06/06/2012,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",06/06/2012,"Burr, Richard [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Budget deficits and national debt","Congressional oversight",Education,"Government lending and loan guarantees","Higher education","Interest, dividends, interest rates","Student aid and college costs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Comprehensive Student Loan Protection Act - Amends title IV (Student Assistance) of the Higher Education Act of 1965 to set the interest rate on Direct Loans, for any 12 month period beginning on July 1 and ending on June 30, at the bond equivalent rate of 10-year Treasury bills auctioned at the final auction held prior to such June 1, plus 3%.</p> <p>Makes: (1) that formula applicable to Direct Loans first disbursed on or after July 1, 2012; and (2) the rate set on such loans applicable for the life of the loans.</p> <p>Requires any savings to the federal government that result from this Act's amendment to be used for deficit reduction.</p>",,,,,,
"S. 3265",https://www.congress.gov/bill/112th-congress/senate-bill/3265,"112th Congress (2011-2012)","A bill to amend the Federal Power Act to remove the authority of the Federal Energy Regulatory Commission to collect land use fees for land that has been sold, exchanged, or otherwise transferred from Federal ownership but that is subject to a power site reservation.","Murkowski, Lisa [Sen.-R-AK] (Introduced 06/05/2012)",Republican,06/05/2012,"Senate - Energy and Natural Resources","Committee on Energy and Natural Resources Subcommittee on Water and Power. Hearings held. With printed Hearing: S.Hrg. 112-624.",09/19/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Electric power generation and transmission",Energy,"Land transfers","Land use and conservation","Licensing and registrations","User charges and fees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Federal Power Act regarding annual charges payable by licensees to the United States for use of federal lands to exclude land that has been sold, exchanged, or otherwise transferred from federal ownership, yet remains subject to a power site reservation under the Act. </p> <BR> <BR>",,,,,,
"S. 3264",https://www.congress.gov/bill/112th-congress/senate-bill/3264,"112th Congress (2011-2012)","A bill to amend the Federal Water Pollution Control Act to reauthorize the Lake Pontchartrain Basin Restoration Program.","Vitter, David [Sen.-R-LA] (Introduced 06/05/2012)",Republican,06/05/2012,"Senate - Environment and Public Works","Placed on Senate Legislative Calendar under General Orders. Calendar No. 454.",07/16/2012,"Landrieu, Mary L. [Sen.-D-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Environmental Protection","Lakes and rivers",Louisiana,"Water quality",Watersheds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.3687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/28/2012 Became Public Law No: 112-237.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Amends the Federal Water Pollution Control Act (commonly known as the Clean Water Act) to revise the Lake Pontchartrain Basin Restoration Program to: (1) limit grants by the Administrator of the Environmental Protection Agency (EPA) to no more than 75% of project costs; and (2) authorize the appropriation of $20 million or the lowest amount appropriated to carry out such Program for any of the preceding five fiscal years, whichever is less, for each of FY2013-FY2017.</p>",,,,,,
"S. 3260",https://www.congress.gov/bill/112th-congress/senate-bill/3260,"112th Congress (2011-2012)","A bill to provide that no United States assistance may be provided to Pakistan until Dr. Shakil Afridi is freed.","Paul, Rand [Sen.-R-KY] (Introduced 06/04/2012)",Republican,06/04/2012,"Senate - Foreign Relations","Read twice and referred to the Committee on Foreign Relations.",06/04/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Asia,"Congressional oversight","Criminal investigation, prosecution, interrogation","Detention of persons","Foreign aid and international relief","Health personnel","Human rights","International Affairs",Pakistan,"Refugees, asylum, displaced persons",Sanctions,Terrorism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.5924,S.3269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"06/07/2012 Referred to the House Committee on Foreign Affairs.","06/07/2012 Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 423.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p> Prohibits any direct U.S. assistance to the government of Pakistan unless the President certifies to Congress that: (1) Dr. Shakil Afridi has been released from prison in Pakistan and any criminal charges brought against Dr. Afridi, including treason, have been dropped; and (2) if necessary to ensure his freedom, Dr. Afridi has been allowed to leave Pakistan.</p>",,,,,,
"S. 3259",https://www.congress.gov/bill/112th-congress/senate-bill/3259,"112th Congress (2011-2012)","A bill for the relief of Dr. Shakeel Afridi.","Paul, Rand [Sen.-R-KY] (Introduced 06/04/2012)",Republican,06/04/2012,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",06/04/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Provides for the relief of Dr. Shakeel Afridi.",,,,,,
"S. 3257",https://www.congress.gov/bill/112th-congress/senate-bill/3257,"112th Congress (2011-2012)","A bill to amend the Internal Revenue Code of 1986 to prohibit the use of public funds for political party conventions, and to provide for the return of previously distributed funds for deficit reduction.","Coburn, Tom [Sen.-R-OK] (Introduced 06/04/2012)",Republican,06/04/2012,"Senate - Rules and Administration","Read twice and referred to the Committee on Rules and Administration.",06/04/2012,"Burr, Richard [Sen.-R-NC]","Udall, Mark [Sen.-D-CO]","McCain, John [Sen.-R-AZ]","Moran, Jerry [Sen.-R-KS]","Thune, John [Sen.-R-SD]","Johanns, Mike [Sen.-R-NE]","Ayotte, Kelly [Sen.-R-NH]","Hoeven, John [Sen.-R-ND]","Grassley, Chuck [Sen.-R-IA]","Tester, Jon [Sen.-D-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"Budget deficits and national debt","Elections, voting, political campaign regulation","Government trust funds","Tax administration and collection, taxpayers",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"09/20/2012 Received in the Senate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Internal Revenue Code to repeal provisions providing for the use of funds from the Presidential Election Campaign Fund for presidential nominating conventions. Requires that any amount which is returned by the national committee of a major or minor party to the Treasury from an account established under the Fund to make payments for conventions to be used solely for deficit reduction. </p>",,,,,,
"S. 3256",https://www.congress.gov/bill/112th-congress/senate-bill/3256,"112th Congress (2011-2012)","A bill to amend the Fair Labor Standards Act of 1938 to improve nonretaliation provisions relating to equal pay requirements.","Heller, Dean [Sen.-R-NV] (Introduced 06/04/2012)",Republican,06/04/2012,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",06/04/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Employment discrimination and employee rights","Labor and Employment","Labor standards","Sex, gender, sexual orientation discrimination","Wages and earnings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H.R.1519,S.797,S.3220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"05/20/2011 Referred to the Subcommittee on Workforce Protections.","04/12/2011 Read twice and referred to the Committee on Health, Education, Labor, and Pensions.","06/05/2012 Motion to proceed to consideration of measure withdrawn in Senate. (consideration: CR S3714)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>End Pay Discrimination Through Information Act - Amends the Fair Labor Standards Act of 1938 to revise the prohibition against employer retaliation for employee complaints. Prohibits retaliation for inquiring about, discussing, or disclosing the wages of the employee or another employee in response to a sex discrimination complaint or charge, or in furtherance of a sex discrimination investigation, proceeding, hearing, or action, including an investigation conducted by the employer. </p>",,,,,,
"S. 3252",https://www.congress.gov/bill/112th-congress/senate-bill/3252,"112th Congress (2011-2012)","A bill to provide for the award of a gold medal on behalf of Congress to Jack Nicklaus, in recognition of his service to the Nation in promoting excellence, good sportsmanship, and philanthropy.","Portman, Rob [Sen.-R-OH] (Introduced 05/24/2012)",Republican,05/24/2012,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",05/24/2012,"Cochran, Thad [Sen.-R-MS]","Landrieu, Mary L. [Sen.-D-LA]","Carper, Thomas R. [Sen.-D-DE]","Nelson, Bill [Sen.-D-FL]","Cornyn, John [Sen.-R-TX]","Graham, Lindsey [Sen.-R-SC]","Vitter, David [Sen.-R-LA]","Coburn, Tom [Sen.-R-OK]","Brown, Sherrod [Sen.-D-OH]","Barrasso, John [Sen.-R-WY]","Wicker, Roger F. [Sen.-R-MS]","Begich, Mark [Sen.-D-AK]","Risch, James E. [Sen.-R-ID]","Udall, Mark [Sen.-D-CO]","Coons, Christopher A. [Sen.-D-DE]","Ayotte, Kelly [Sen.-R-NH]","Blumenthal, Richard [Sen.-D-CT]","Blunt, Roy [Sen.-R-MO]","Hoeven, John [Sen.-R-ND]","Johnson, Ron [Sen.-R-WI]","Lee, Mike [Sen.-R-UT]","Rubio, Marco [Sen.-R-FL]","Cardin, Benjamin L. [Sen.-D-MD]","Kohl, Herb [Sen.-D-WI]","Lieberman, Joseph I. [Sen.-ID-CT]","Durbin, Richard J. [Sen.-D-IL]","Casey, Robert P., Jr. [Sen.-D-PA]","Hutchison, Kay Bailey [Sen.-R-TX]","Inhofe, James M. [Sen.-R-OK]","Sessions, Jeff [Sen.-R-AL]","Alexander, Lamar [Sen.-R-TN]","Pryor, Mark L. [Sen.-D-AR]","Burr, Richard [Sen.-R-NC]","Isakson, Johnny [Sen.-R-GA]","Corker, Bob [Sen.-R-TN]","Reid, Harry [Sen.-D-NV]","Toomey, Patrick [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Athletes,"Congressional tributes","Professional sports","Sports and Recreation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"04/17/2012 Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Directs the Speaker of the House of Representatives and the President Pro Tempore of the Senate to make arrangements for the presentation of a congressional gold medal to Jack Nicklaus in recognition of his service to the nation in promoting excellence and good sportsmanship.</p> <p>Directs the Secretary of the Treasury to strike such gold medal and to strike and sell duplicate bronze medals at a price sufficient to cover the costs of the gold and bronze medals. </p>",,,,,,
"S. 3250",https://www.congress.gov/bill/112th-congress/senate-bill/3250,"112th Congress (2011-2012)","SAFER Act of 2012","Cornyn, John [Sen.-R-TX] (Introduced 05/24/2012)",Republican,05/24/2012,"Senate - Judiciary","Message on House action received in Senate and at desk: House amendments to Senate bill.",01/02/2013,"Collins, Susan M. [Sen.-R-ME]","Klobuchar, Amy [Sen.-D-MN]","Bennet, Michael F. [Sen.-D-CO]","Franken, Al [Sen.-D-MN]","Kirk, Mark Steven [Sen.-R-IL]","Feinstein, Dianne [Sen.-D-CA]","Hutchison, Kay Bailey [Sen.-R-TX]","Schumer, Charles E. [Sen.-D-NY]","Burr, Richard [Sen.-R-NC]","Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","McCaskill, Claire [Sen.-D-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"Crime and Law Enforcement","Crime victims","Crimes against women","Criminal justice information and records","Evidence and witnesses",Genetics,"Government information and archives","Law enforcement administration and funding","Sex offenses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H.R.1523,H.R.6628,S.2338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"07/11/2011 Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.","12/07/2012 Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.","04/24/2012 Read the second time. Ordered Placed on Senate Legislative Calendar under General Orders. Calendar No. 364.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Sexual Assault Forensic Evidence Reporting Act of 2012 or the SAFER Act of 2012 - (Sec. 2) Amends the DNA Analysis Backlog Elimination Act of 2000 to authorize the Attorney General to make Debbie Smith grants under such Act to states or local governments to: (1) conduct audits of samples of sexual assault evidence that are awaiting testing; and (2) ensure that the collection and processing of DNA evidence by law enforcement agencies from crimes, including sexual assault and other violent crimes against persons, is carried out in an appropriate and timely manner and in accordance with specified protocols and practices. Requires not less than 5% but not more than 7% of Debbie Smith grant funds distributed in FY2014-FY2017 to be awarded for such audits if sufficient applications to justify such amounts are received by the Attorney General, provided such award doesn't decrease funds for other distribution requirements. </p> <p>Authorizes the Attorney General to award such a grant to a state or local government for auditing sexual assault evidence backlogs only if the recipient submits a plan for performing the audit and includes a good-faith estimate of the number of such samples. Sets forth provisions regarding grant conditions, including requirements that: (1) the government complete the audit within one year, assign a unique numeric or alphanumeric identifier to each sample awaiting testing, and identify any statutory deadlines for prosecuting a perpetrator to which a sample relates; and (2) the chief law enforcement officer of the state or local government be the individual responsible for compliance with reporting requirements. </p> <p>Requires a grant recipient, at least every 60 days for 12 months after completing an initial count of the samples awaiting testing, to submit a report to the Department of Justice (DOJ) on the number of samples: (1) that such government has determined should undergo testing, (2) that such government has determined should not undergo testing, (3) that have been submitted for testing, and (4) for which testing has been completed. </p> <p>Directs the Attorney General to: (1) publish such reports, and (2) ensure that any information published as part of a report does not include personally identifiable information or details about a sexual assault that might lead to the identification of the individuals involved. </p> <p>Requires the Director of the Federal Bureau of Investigation (FBI) to: (1) develop and publish a description of protocols and practices the Director considers appropriate for the accurate, timely, and effective collection and processing of DNA evidence, including protocols and practices specific to sexual assault cases, which shall address appropriate steps in the investigation of cases that might involve DNA evidence; and (2) make available technical assistance and training to support states and local governments in adopting and implementing such protocols and practices.</p> <p>(Sec. 3) Requires the Attorney General, not later than 90 days after the end of each fiscal year for which a grant for an audit is made, to submit to Congress a report that: (1) lists the states and local governments awarded grants and the amount received by each, (2) states the number of audit deadline extensions granted by the Attorney General, and (3) summarizes the processing status of the samples of sexual assault evidence identified in Sexual Assault Forensic Evidence Reports.</p> <p>(Sec. 4) Requires, for each fiscal year through FY2018, that not less than 75% of Debbie Smith grant amounts be awarded to: (1) carry out, for inclusion in the Combined DNA Index System, DNA analyses of samples collected under applicable legal authority and of samples collected from crime scenes; and (2) increase the capacity of state or local government laboratories to carry out DNA analyses.</p> <p>(Sec. 5) Requires the DOJ Inspector General, each fiscal year beginning in FY2013, to conduct audits of recipients of all grants under this Act to prevent waste, fraud, and abuse by grantees. Makes a grant recipient found to have an unresolved audit finding ineligible to receive grants under this Act during the two fiscal years beginning after the 12-month period beginning on the date when the final audit report is issued. Directs the Attorney General to give priority in awarding grants to eligible entities that, during the three fiscal years before submitting a grant application, did not have an unresolved audit finding showing a violation in the terms or conditions of a DOJ grant program. Prohibits the Attorney General from awarding a grant under a program described in this Act to a nonprofit organization that holds money in offshore accounts for the purpose of avoiding paying tax on certain unrelated business income.</p> <p>Limits the sum that may be used by the Attorney General for salaries and administrative expenses of DOJ to 7.5% of amounts authorized to be appropriated under this Act, unless otherwise explicitly provided in authorizing legislation. Prohibits amounts authorized to be appropriated to DOJ under this Act from being used by the Attorney General or by any individual or organization awarded discretionary funds through a cooperative agreement under this Act to host or support any expenditure for conferences that uses more than $20,000 in DOJ funds without prior specified authorization. Requires the Deputy Attorney General to report annually to the House and Senate Judiciary Committees on all conference expenditures approved.</p> <p>Prohibits amounts authorized to be appropriated under this Act from being utilized by any grant recipient to lobby any DOJ representative regarding the award of grant funding, or to lobby any representative of a federal, state, local, or tribal government regarding the award of grant funding. Directs the Attorney General, upon determining that a grant recipient has violated such provision, to require the recipient to repay the grant in full and to prohibit the recipient from receiving another grant under this Act for not less than five years.</p> <p>(Sec. 6) Sunsets specified provisions of this Act regarding Debbie Smith grants for auditing sexual assault evidence backlogs on December 31, 2018.</p>",,,,,,
