"Downloaded on",03/05/2025,"13:27:26 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2298%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 707",https://www.congress.gov/bill/98th-congress/senate-bill/707,"98th Congress (1983-1984)","A bill to establish domestic content requirements for motor vehicles sold or distributed in interstate commerce in the United States.","Riegle, Donald W., Jr. [Sen.-D-MI] (Introduced 03/08/1983)",Democratic,03/08/1983,"Senate - Commerce, Science, and Transportation","Committee on Commerce. Hearings concluded. Hearings printed: S.Hrg. 98-979.",07/06/1984,"Sarbanes, Paul S. [Sen.-D-MD]","Cranston, Alan [Sen.-D-CA]","Eagleton, Thomas F. [Sen.-D-MO]","Ford, Wendell H. [Sen.-D-KY]","Glenn, John H., Jr. [Sen.-D-OH]","Hollings, Ernest F. [Sen.-D-SC]","Kennedy, Edward M. [Sen.-D-MA]","Lautenberg, Frank R. [Sen.-D-NJ]","Levin, Carl [Sen.-D-MI]","Metzenbaum, Howard M. [Sen.-D-OH]","Proxmire, William [Sen.-D-WI]","Randolph, Jennings [Sen.-D-WV]","Tsongas, Paul E. [Sen.-D-MA]","Byrd, Robert C. [Sen.-D-WV]","Dodd, Christopher J. [Sen.-D-CT]","Huddleston, Walter (Dee) [Sen.-D-KY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,"Automobile industry",Automobiles,"Buy American","Consumer protection","Foreign Trade and Investments","Government paperwork","Import restrictions",Imports,"Motor Vehicles and Driving","Motor vehicles","Restrictive trade practices","Transportation and Public Works","Unfair or deceptive trade practices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.1234,H.R.4115,,,,,,,,CRS,Senate,"11/07/1983 Received in the Senate and read twice and referred to the Committee on Commerce.","10/31/1983 Referred to Subcommittee on Trade.","<p>Fair Practices in Automotive Products Act - Sets forth for all motor vehicle manufacturers which produce over 100,000 motor vehicles for ultimate retail sale in the United States ""minimum domestic content ratios"" (the domestic value, including labor and parts, of the manufacturer's production costs of all automotive products sold in the United States). <p>Requires all vehicle manufacturers producing more than 100,000 motor vehicles for sale in the United States to provide information to the Secretary of Transportation for the purpose of administering this requirement. <p>Establishes penalties for a vehicle manufacturer who fails to meet the minimum domestic content ratio. <p>Directs the Secretary of Transportation and the Federal Trade Commission to investigate and prepare a written report regarding policies and practices of vehicle manufacturers used to persuade U.S. motor vehicle dealers to favor foreign made parts rather than domestically produced parts.",,,,,,
"S. 699",https://www.congress.gov/bill/98th-congress/senate-bill/699,"98th Congress (1983-1984)","A bill to provide for Federal support and encouragement of State, local, and community activities to prevent domestic violence and assist victims of domestic violence, to provide for coordination of Federal programs and activities relating to domestic violence, and for other purposes.","Kennedy, Edward M. [Sen.-D-MA] (Introduced 03/07/1983)",Democratic,03/07/1983,"Senate - Labor and Human Resources","Committee on Labor and Human Resources requested executive comment from Health and Human Services Department, Agriculture Department, Defense Department, HUD, Justice Department, ACTION, Legal Services Corporation, GAO, OMB.",03/14/1983,"Dodd, Christopher J. [Sen.-D-CT]","Matsunaga, Spark M. [Sen.-D-HI]","Riegle, Donald W., Jr. [Sen.-D-MI]","Tsongas, Paul E. [Sen.-D-MA]","Cranston, Alan [Sen.-D-CA]","DeConcini, Dennis [Sen.-D-AZ]","Hart, Gary W. [Sen.-D-CO]","Mathias, Charles McC., Jr. [Sen.-R-MD]","Metzenbaum, Howard M. [Sen.-D-OH]","Randolph, Jennings [Sen.-D-WV]","Inouye, Daniel K. [Sen.-D-HI]","Pell, Claiborne [Sen.-D-RI]","Moynihan, Daniel Patrick [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,"Advisory bodies","Civil Rights and Liberties","Compensation for victims of crime","Congressional oversight","Crime and Law Enforcement","Crime prevention","Crimes against the elderly","Domestic Relations and Families","Domestic relations",Families,"Family violence","Federal advisory bodies","Federal aid to Indians","Government records, documents, and information",Grants-in-aid,"Information services","Intergovernmental relations","Native Americans",Research,"Right of privacy","Social Welfare",States,"Sunset legislation","Victims of crimes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Domestic Violence Prevention and Services Act - Authorizes the Secretary of Health and Human Services to make grants to States, local public agencies, and nonprofit organizations for projects designed to prevent domestic violence and to provide immediate shelter and other assistance for victims and dependents of victims of domestic violence. <p>Sets forth conditions for receiving the formula grants, including that the State:  (1) distribute funds to local public agencies and private nonprofit organizations for domestic violence programs and services; (2) distribute at least 70 percent of such funds to private nonprofit organizations and give special emphasis to supporting community-based projects; (3) set forth procedures to assure an equitable distribution of grants within the State; (4) designate a State agency to administer the domestic violence program and coordinate all such programs within the State; (5) set forth procedures to assure active citizen participation within the State; (6) provide assurances that any project funded will coordinate its activities with other State programs and be administered by appropriately trained personnel; and (7) comply with reporting requirements. <p>Declares that the Secretary shall not disapprove any application except after notice of and opportunity for a hearing. <p>Authorizes the Secretary to make grants to Indian tribes and intertribal organizations. <p>Provides that such funds may not be used for direct payment to any victim of domestic violence or to a dependent of such victim, and that no income eligibility standard may be imposed for anyone seeking services under this Act. <p>Limits the total amount of grants to any local program to $150,000 for not more than a three-year period. Limits the grant for any fiscal year to $50,000. <p>Requires local public agencies and private organizations to provide the following shares of Federal funding: (1) 25 percent in the first year; (2) 33.33 percent the second year; and (3) 50 percent the third year. <p>Requires that at least 75 percent of grants be distributed to entities providing immediate shelter and related assistance to victims. <p>Authorizes the Secretary to make supplemental grants to States for:  (1) administrative costs; (2) developing and implementing programs; (3) assuring active citizen participation; and (4) developing a media campaign. <p>Provides that each State will be allotted at least $45,000 in formula grants and $7,500 in supplemental grants. <p>Requires each State receiving assistance to submit detailed annual reports to the Secretary on the implementation of programs. <p>Directs the Secretary to:  (1) designate a director of programs carried out under this title; (2) establish a national information clearinghouse on domestic violence, in coordination with the child abuse clearinghouse; (3) make recommendations to Congress regarding domestic violence programs; and (4) obtain information on research relating to domestic violence. <p>Directs the Secretary to make annual reports to Congress and to evaluate and report on the effectiveness of the programs no later than two years after funds are obligated. <p>Sets forth confidentiality requirements with respect to records of persons assisted under this title. Establishes the Federal Interagency Council on Domestic Violence to assist the Secretary in coordinating Federal programs. <p>Authorizes appropriations. <p>Directs the Secretary to report to the President and Congress within 18 months of enactment on the nature and incidence of abuse of elderly individuals.",,,,,,
"S. 698",https://www.congress.gov/bill/98th-congress/senate-bill/698,"98th Congress (1983-1984)","A bill to provide financial assistance for emergency shelters and related assistance for the homeless.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 03/07/1983)",Democratic,03/07/1983,"Senate - Finance","Committee on Finance requested executive comment from OMB, Treasury Department.",03/11/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Advisory bodies","Community facilities","Federal advisory bodies","Federal aid to housing","Federal-local relations","Federal-state relations",Grants-in-aid,"Housing and Housing Finance","Housing and Community Development","Income tax","Industrial development bonds","Investment tax credit","Local and Municipal Government","Local finance","Public Welfare and Charities","Public assistance programs","Residential rehabilitation","Securities and Investments","Social Welfare","State finance",States,"Supplemental security income program","Tax credits","Tax exclusion","Tax incentives","Tax-exempt securities","Urban affairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1950,,,,,,,,,CRS,Senate,"03/25/1983 See H.R.1900.",,"<p>Emergency Shelter for the Homeless Act of 1983 - <b>Title I:  General Provisions</b> - Defines terms to be used in this Act. <p><b>Title II:  Grants for Operation of Shelters for Homeless Adults</b> - Authorizes the Secretary of Health and Human Services to make grants to States, local governments, and nonprofit organizations to pay general operating costs of emergency shelters for homeless adults. Conditions the eligibility of a State, local government, or nonprofit organization on requirements that:  (1) an emergency shelter is operating in the area served by such entity; (2) such entity operated an emergency shelter some time during the three years preceding the enactment of this Act; and (3) such entity agrees to expend an amount equal to, and in addition to, the grant amount to operate emergency shelters.  Lists grant application requirements, including requirements for:  (1) material describing shelters operated by the applicant within the preceding three years; (2) material specifying the bed capacity of shelters operated by someone else; (3) information on the unemployment and vacant housing rates and the number of unrelated individuals living below the poverty level in the area served by the applicant; (4) an assurance that the applicant will repay grant funds not expended for operating emergency shelters; and (5) a report describing discussions between any State or local government applicant and community representatives concerning emergency shelter expenditures. <p>Directs the Secretary to publish in the Federal Register a notice of the availability of funds for such grants when the amount approved for applicants is less than the amount appropriated for such grants.  Authorizes appropriations. <p><b>Title III: Grants for Renovating and Converting Facilities for Use as Shelters for the Homeless</b> - Permits the Secretary to make competitive grants to States, local governments, and nonprofit organizations to renovate or convert facilities to be used as emergency shelters for the homeless. <p>Sets forth information that must be included in an application for such a grant, including:  (1) the number of individuals in the areas who need emergency shelters and the number of individuals for whom shelter would be provided; (2) material demonstrating that notice and an opportunity to comment has been provided to the neighborhood in which the facility will be located; and (3) assurances that the applicant will expend, within one year, such grant amount and an additional contribution equal to 25 percent of such amount to renovate or convert such facility and will operate such facility as an emergency shelter for three years and as an emergency shelter, or for another approved public purpose, for four additional years.  Requires repayment of 80 percent of grant funds not used as prescribed in this title. <p>Prohibits the Secretary from making any grant that would result in a disproportionate burden on any one section of a locality. <p>Requires the Secretary to publish a notice of the availability of grant funds whenever amounts appropriated exceed amounts approved for such grants. Authorizes appropriations. <p><b>Title IV:  Demonstration Projects Relating to Emergency Shelter for the Homeless</b> - Authorizes the Secretary to make grants to States, local governments, and nonprofit organizations for the operation of demonstration projects that develop and apply innovative approaches to provide basic services to the homeless.  Conditions grant eligibility on an entity's agreement to expend such grant amount plus a contribution equal to ten percent of such amount on such a project. <p>Directs the Secretary to publicize the availability of grant funds when amounts appropriated exceed amounts requested and approved.  Authorizes appropriations. <p><b>Title V:  Coordinating Council to Assist the Homeless</b> - Establishes the Federal Coordinating Council on the Homeless.  Requires the Council to report to both Houses of Congress within 90 days on:  (1) the extent to which existing Federal law providing assistance to the homeless can be utilized; and (2) whether assistance currently provided is adequate for the purpose of each Act. <p>Terminates the Council 30 days after it transmits its report.  Directs the Secretary to submit a copy of the report to the chief executive officer of each State. <p><b>Title VI:  Federal Assistance for Eligible Homeless People Under SSI Program</b> - Amends the Social Security Act to exclude an emergency shelter from the definition of a ""public institution"" to allow otherwise eligible shelter residents to receive Supplemental Security Income benefits. <p><b>Title VII:  Tax Incentives for Emergency Shelters and Single Room Occupancy Facilities</b> - Amends the Internal Revenue Code to allow an investment tax credit equal to 25 percent of the qualified expenditures for the construction or rehabilitation of an emergency shelter facility or a single room occupancy facility. <p>Provides for an income tax exclusion of the interest earned on tax-exempt bonds issued to finance qualified shelter facilities.",,,,,,
"S. 697",https://www.congress.gov/bill/98th-congress/senate-bill/697,"98th Congress (1983-1984)","A bill entitled the ""Private Sector Productivity Act of 1983"".","Bentsen, Lloyd M. [Sen.-D-TX] (Introduced 03/07/1983)",Democratic,03/07/1983,"Senate - Governmental Affairs","Read twice and referred to the Committee on Governmental Affairs.",03/07/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Advisory bodies","Business and commerce","Federal advisory bodies","Government and business","Government Operations and Politics","Government records, documents, and information","Information services","Labor and Employment","Labor productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Private Sector Productivity Act - Establishes the Productivity Council.  Directs the Council to:  (1) develop, annually revise, and direct the implementation of a comprehensive national productivity plan which assesses the effects of Federal policies and activities on private sector productivity, identifying unnecessary obstacles and recommending improvements; (2) obtain support from Government, business, labor, and academic representatives; (3) act as a liaison between Federal agencies and local, regional, national, and foreign productivity centers; and (4) delineate agency functions to improve productivity.  Creates an advisory board to the Council. <p>Directs the Secretary of Commerce, the Secretary of Labor, and the Director of the Federal Mediation and Conciliation Service, under the guidance of the Council, to conduct specified activities to collect and disseminate information relating to productivity improvement in the private sector, and to recommend revisions in the national productivity plan. <p>Authorizes appropriations.",,,,,,
"S. 696",https://www.congress.gov/bill/98th-congress/senate-bill/696,"98th Congress (1983-1984)","A bill to ratify an exchange agreement concerning National Wildlife Refuge System lands located on Matagorda Island in Texas.","Bentsen, Lloyd M. [Sen.-D-TX] (Introduced 03/07/1983)",Democratic,03/07/1983,"Senate - Environment and Public Works","Committee on Environment and Public Works. Ordered reported H.R.1935 in lieu of this bill.",06/23/1983,"Tower, John G. [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Animals and Animal Protection","Federal-state relations","Parks and Natural Areas","Public Lands and Natural Resources","State parks",Texas,"Wildlife management","Wildlife refuges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1935,,,,,,,,,CRS,Senate,"08/04/1983 Became Public Law No: 98-66.",,"<p>Ratifies an exchange agreement providing for management of National Wildlife Refuge System lands and State park lands on Matagorda Island in Texas.",,,,,,
"S. 683",https://www.congress.gov/bill/98th-congress/senate-bill/683,"98th Congress (1983-1984)","A bill to modify the special payment-in-kind land conservation program, and for other purposes.","Bumpers, Dale [Sen.-D-AR] (Introduced 03/03/1983)",Democratic,03/03/1983,"Senate - Agriculture, Nutrition, and Forestry","Referred to Subcommittee on Agricultural Production.",03/30/1983,"Pryor, David H. [Sen.-D-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Agricultural price supports","Agriculture and Rural Affairs","Agriculture and Food","Payment-in-kind program",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Payment-in-Kind Amendments Act of 1983 - Modifies the payment-in-kind program to increase payments to qualifying double-cropping farmers and base quantity adjustments used to compensate quality variations on current year projected prices. Defines ""double-cropping"" as harvesting two crops from the same acreage during different seasons of the same year. <p>Requires the Secretary of Agriculture to review such price projections and reimburse farmers when they exceed actual prices.",,,,,,
"S. 682",https://www.congress.gov/bill/98th-congress/senate-bill/682,"98th Congress (1983-1984)","A bill to amend the Agricultural Act of 1949 to modify the acreage base to be used for a farm under the acreage limitation programs for the 1983 crops of wheat, feed grains, and rice.","Bumpers, Dale [Sen.-D-AR] (Introduced 03/03/1983)",Democratic,03/03/1983,"Senate - Agriculture, Nutrition, and Forestry","Referred to Subcommittee on Agricultural Production.",03/30/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Acreage allotments","Agricultural policies","Agricultural price supports","Agriculture and Rural Affairs","Agriculture and Food","Feed grain program",Rice,Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Amends the Agricultural Act of 1949, as amended by the Omnibus Budget Reconciliation Act of 1982, to restore the acreage base standards set by the Agriculture and Food Act of 1981 for the 1983 crops of wheat, feed grains, and rice.",,,,,,
"S. 681",https://www.congress.gov/bill/98th-congress/senate-bill/681,"98th Congress (1983-1984)","A bill to authorize the Secretary of the Interior to engage in a feasibility study of water resource development and for other purposes in the Central Platte Valley, Nebraska.","Exon, J. James [Sen.-D-NE] (Introduced 03/03/1983)",Democratic,03/03/1983,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",03/03/1983,"Zorinsky, Edward [Sen.-D-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Animals and Animal Protection",Birds,"Flood control","Intergovernmental fiscal relations","Missouri River development",Nebraska,"Public works","Recreation and Recreational Facilities","Recreation areas",Rivers,"Water and Water Resources Development","Water supply",Watersheds,"Wildlife conservation","Water Resources Development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1669,,,,,,,,,CRS,Senate,"03/15/1983 Executive Comment Requested from Interior.",,"<p>Authorizes the Secretary of the Interior to engage in a feasibility study for the Prairie Bend unit, Pick-Sloan Missouri River basin program, Nebraska, for water resources development, fish and wildlife habitat management, public outdoor recreation, flood control, and other appropriate purposes. <p>Requires such study to include a detailed report on any effects the proposed project may have on the wildlife habitat, including the habitat of the sandhill crane and the whooping crane. <p>Conditions such study on agreement by the State of Nebraska, or another non-Federal entity, to participate and share in their costs.",,,,,,
"S. 680",https://www.congress.gov/bill/98th-congress/senate-bill/680,"98th Congress (1983-1984)","A bill entitled the ""Gladys Noon Spellman Parkway.""","Sarbanes, Paul S. [Sen.-D-MD] (Introduced 03/03/1983)",Democratic,03/03/1983,"Senate - Energy and Natural Resources","Became Public Law No: 98-46.",07/12/1983,"Mathias, Charles McC., Jr. [Sen.-R-MD]","Matsunaga, Spark M. [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Maryland,"Members of Congress (House)","Monuments and memorials",Names,"Roads and highways","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.174,,,,,,,,,CRS,Senate,"05/20/1983 Placed on Senate Legislative Calendar under Regular Orders. Calendar No. 213.",,"(Measure passed Senate, amended) <p>Dedicates the Baltimore-Washington Parkway, in Maryland, to Gladys Noon Spellman.  Directs the Secretary of the Interior to erect adjacent to such parkway an appropriate marker commemorating the contribution of Gladys Noon Spellman. <p>Authorizes appropriations.",,,,,,
"S. 677",https://www.congress.gov/bill/98th-congress/senate-bill/677,"98th Congress (1983-1984)","A bill to amend the Federal Rules of Civil Procedure with respect to the examination of prospective jurors.","Heflin, Howell [Sen.-D-AL] (Introduced 03/03/1983)",Democratic,03/03/1983,"Senate - Judiciary","Subcommittee on Courts. Approved for full committee consideration with an amendment in the nature of a substitute favorably.",03/26/1984,"Bumpers, Dale [Sen.-D-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Civil procedure","Courts and Civil Procedure",Juries,Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Amends Federal Rules of Civil Procedure to direct the court to permit oral examination of prospective jurors by the parties (currently, a district court has discretion to grant or deny such permission). <p>Authorizes the court to exercise its discretion when imposing limitations upon such examination. <p>Directs that upon request parties be granted at least 30 minutes for such examinations.  Grants additional time under specified circumstances.",,,,,,
"S. 676",https://www.congress.gov/bill/98th-congress/senate-bill/676,"98th Congress (1983-1984)","A bill to provide for capital assistance to State and local governments.","Sasser, Jim [Sen.-D-TN] (Introduced 03/03/1983)",Democratic,03/03/1983,"Senate - Finance","Committee on Finance requested executive comment from OMB, Treasury Department.",03/10/1983,"Baucus, Max [Sen.-D-MT]","Riegle, Donald W., Jr. [Sen.-D-MI]","Tsongas, Paul E. [Sen.-D-MA]","Ford, Wendell H. [Sen.-D-KY]","Pryor, David H. [Sen.-D-AR]","Randolph, Jennings [Sen.-D-WV]","Levin, Carl [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Capital investments","Department of the Treasury","Federal aid programs","Government trust funds","Local and Municipal Government","Local finance","State finance",States,"Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Amends title 31 of the United States Code to add a new Chapter 74 - Capital Assistance to State and Local Governments. <p>Requires the Secretary of the Treasury, for each entitlement period, to pay out of the State and Local Government Capital Fiscal Assistance Trust Fund (as established by this Act):  (1) to each State government a total amount equal to its entitlement for such period; and (2) to each unit of local government a total amount equal to its entitlement. <p>Requires such payments to be made in quarterly installments paid no later than five days after the close of the quarter. <p>Limits the use of such funds by State and local governments to capital expenditures. <p>Establishes the State and Local Government Capital Fiscal Assistance Trust Fund. <p>Makes appropriations for such Trust Fund. <p>Sets forth the procedure for determining the amounts which are to be allocated to each State for each entitlement period. <p>Declares that the State government shall be entitled to receive 33 1/3 percent of the amount allocated to a State for each entitlement period and that the remaining portion shall be allocated among the units of local government of that State. <p>Makes all units of local government eligible to receive such payments except:  (1) any municipality, township, Indian tribe, or Alaskan Native Village which has a population of less than 35,000; (2) any county government with a population of less than 10,000; and (3) any unit of local government which is allocated less than $10,000 for such entitlement period. <p>Establishes the Discretionary Capital Assistance Trust Fund for payments to local governments which are not eligible to receive a payment out of the State and Local Government Capital Fiscal Assistance Trust Fund. <p>Requires reports to the Secretary on the use of funds by each State and local government which receives funds under this Act after the close of each entitlement period. <p>Sets forth miscellaneous provisions concerning qualifications of State and local governments to receive funds. <p>Terminates all authorities granted under this Act on September 30, 1985.",,,,,,
